dataset	metric	value
groel	n_proteins	252
groel	n_domains_total	499
groel	n_proteins_with_domains	247
groel	n_domains_0_count	5
groel	n_domains_1_count	103
groel	n_domains_2_count	82
groel	n_domains_3_count	37
groel	n_domains_4_count	15
groel	n_domains_5_count	6
groel	n_domains_6_count	2
groel	n_domains_9_count	1
groel	n_domains_10_count	1
groel	single_domain_proteins	103
groel	multi_domain_proteins	144
groel	no_domain_proteins	5
groel	top_sf_rank1	3.20.20.70:22
groel	top_sf_rank2	3.40.50.300:22
groel	top_sf_rank3	1.10.10.10:15
groel	top_sf_rank4	3.40.640.10:13
groel	top_sf_rank5	3.50.50.60:12
groel	top_sf_rank6	3.90.1150.10:11
groel	top_sf_rank7	3.40.50.150:9
groel	top_sf_rank8	3.30.420.40:9
groel	top_sf_rank9	2.40.50.100:8
groel	top_sf_rank10	3.40.50.720:8
groel	cath_class_alpha-beta	331
groel	cath_class_mainly-alpha	99
groel	cath_class_mainly-beta	58
groel	cath_class_few-SS	6
groel	cath_class_class-6	5
groel	mean_mean_plddt	93.4054
groel	std_mean_plddt	4.8763
groel	mean_min_plddt	67.5197
groel	std_min_plddt	18.0084
groel	mean_frac_plddt>70	0.9740
groel	std_frac_plddt>70	0.0494
groel	mean_frac_plddt>90	0.8142
groel	std_frac_plddt>90	0.2316
groel	mean_frac_helix	0.4116
groel	std_frac_helix	0.1850
groel	mean_frac_strand	0.2175
groel	std_frac_strand	0.1367
groel	mean_frac_coil	0.3709
groel	std_frac_coil	0.0911
groel	top_arch_rank1	3.20.20.70:17
groel	top_arch_rank2	3.90.1150.10|3.40.640.10:8
groel	top_arch_rank3	3.40.50.300:6
groel	top_arch_rank4	3.20.20.100:4
groel	top_arch_rank5	3.20.20.140:4
groel	top_arch_rank6	3.40.30.10:3
groel	top_arch_rank7	3.40.50.2300|6.10.250.690|1.10.10.10:3
groel	top_arch_rank8	3.40.50.300|3.40.50.300:3
groel	top_arch_rank9	1.10.10.10|3.40.190.290:3
groel	top_arch_rank10	3.40.50.1820|1.10.10.800:2
hsp60	n_proteins	266
hsp60	n_domains_total	471
hsp60	n_proteins_with_domains	241
hsp60	n_domains_0_count	25
hsp60	n_domains_1_count	106
hsp60	n_domains_2_count	79
hsp60	n_domains_3_count	29
hsp60	n_domains_4_count	17
hsp60	n_domains_5_count	8
hsp60	n_domains_6_count	2
hsp60	single_domain_proteins	106
hsp60	multi_domain_proteins	135
hsp60	no_domain_proteins	25
hsp60	top_sf_rank1	3.40.50.300:26
hsp60	top_sf_rank2	3.40.50.720:16
hsp60	top_sf_rank3	1.25.40.10:12
