hypothesis	dataset	test	metric	n	statistic	pvalue	effect_size	effect_name	median_n_domain	median_c_region	median_diff	direction	n_substrate	n_background	median_substrate	median_background	groups	pvalue_bh	significant
H2.1	groel	wilcoxon_signed_rank	relative_contact_order	121	2262.0	0.00021991855651862688	0.3870749220972768	rank_biserial_r	0.2649610955493308	0.2340077918813623	0.041399749090581806	N > C						0.000819866733478861	True
H2.1	groel	wilcoxon_signed_rank	mean_plddt	144	3750.0	0.0033719092173179984	0.2816091954022989	rank_biserial_r	95.02250116340912	93.34355405405407	0.5915981826149519	N > C						0.006130744031487269	True
H2.1	groel	wilcoxon_signed_rank	frac_helix	144	5001.0	0.6622907282584369	0.0419540229885057	rank_biserial_r	0.41057560529922343	0.40090450184156495	-0.025307972390352262	C > N						0.6622907282584369	False
H2.1	groel	wilcoxon_signed_rank	frac_strand	144	4471.0	0.17247879181778214	0.1315073815073815	rank_biserial_r	0.19335591771958735	0.19136232894622154	0.032365425845642365	N > C						0.2385489401261182	False
H2.1	groel	wilcoxon_signed_rank	frac_plddt_gt70	144	1623.0	8.328589725787667e-05	0.43821391484942884	rank_biserial_r	0.9943813131313131	0.9868527042577676	0.00034911325233899504	N > C						0.00041642948628938333	True
H2.1	hsp60	wilcoxon_signed_rank	relative_contact_order	121	1776.0	7.343472479788719e-07	0.5187643950684189	rank_biserial_r	0.2656799656799657	0.2001556752091083	0.06453518296156677	N > C						7.343472479788719e-06	True
H2.1	hsp60	wilcoxon_signed_rank	mean_plddt	135	3752.0	0.06569931891685868	0.18257080610021792	rank_biserial_r	93.89551724137932	93.5277049180328	0.22037620297462013	N > C						0.10107587525670565	False
H2.1	hsp60	wilcoxon_signed_rank	frac_helix	135	4125.0	0.37736081094792695	0.08789386401326704	rank_biserial_r	0.4214046822742475	0.4074074074074074	0.020498361287834888	N > C						0.4439538952328552	False
H2.1	hsp60	wilcoxon_signed_rank	frac_strand	135	3857.0	0.17891170509458865	0.13432835820895528	rank_biserial_r	0.1952662721893491	0.1762452107279693	0.012868386281381095	N > C						0.2385489401261182	False
H2.1	hsp60	wilcoxon_signed_rank	frac_plddt_gt70	135	2081.5	0.03546872917513115	0.2375457875457876	rank_biserial_r	0.9818181818181818	0.9811046511627908	0.0	C > N						0.05911454862521859	False
H2.1	matrix_bg	wilcoxon_signed_rank	relative_contact_order	144	3195.0	5.380178531002956e-05	0.3879310344827587	rank_biserial_r	0.25067338467426203	0.192872370828715	0.08034681376149622	N > C						0.0003586785687335304	True
H2.1	matrix_bg	wilcoxon_signed_rank	mean_plddt	168	4815.0	0.0002994774277851843	0.3216398985629755	rank_biserial_r	94.13304436920885	91.84666467118524	1.2297952435478976	N > C						0.0008556497936719553	True
H2.1	matrix_bg	wilcoxon_signed_rank	frac_helix	168	6632.0	0.4604914913412881	0.06565229642152715	rank_biserial_r	0.39208074534161486	0.3862567204301075	0.015146193130074814	N > C						0.5116572126014312	False
H2.1	matrix_bg	wilcoxon_signed_rank	frac_strand	168	6193.0	0.2869251449014867	0.09558232931726907	rank_biserial_r	0.20401337792642138	0.19451645064805578	0.017032536709249493	N > C						0.35865643112685835	False
H2.1	matrix_bg	wilcoxon_signed_rank	frac_plddt_gt70	168	3543.0	0.0002459600200436583	0.34859349145063434	rank_biserial_r	0.9854155590997695	0.9631808278867102	0.012103371705720789	N > C						0.000819866733478861	True
H2.1	mito_bg	wilcoxon_signed_rank	relative_contact_order	110	1086.0	4.499527306598626e-09	0.6442260442260442	rank_biserial_r	0.25521832358039587	0.20092897113476038	0.058936371538549456	N > C						8.999054613197252e-08	True
H2.1	mito_bg	wilcoxon_signed_rank	mean_plddt	118	2268.0	0.0008478831235415395	0.35393818544366895	rank_biserial_r	90.20456242552628	86.91132208222203	2.0344336433471852	N > C						0.001695766247083079	True
H2.1	mito_bg	wilcoxon_signed_rank	frac_helix	118	3261.0	0.50284528966779	0.07107249679532834	rank_biserial_r	0.4612403100775193	0.4848945253641386	-0.023770335277815136	C > N						0.5293108312292526	False
H2.1	mito_bg	wilcoxon_signed_rank	frac_strand	118	1667.0	0.0005666298009433705	0.3893772893772893	rank_biserial_r	0.1569892473118279	0.0855110037415667	0.03326405620771481	N > C						0.0012591773354297122	True
H2.1	mito_bg	wilcoxon_signed_rank	frac_plddt_gt70	118	1900.5	0.00038116239512918354	0.3885135135135135	rank_biserial_r	0.9644437420986094	0.8998236423501611	0.031935924136144433	N > C						0.0009529059878229588	True
H2.2	GroEL vs mito_bg	mann_whitney_u	contact_order_asymmetry	231	5921.0	0.14818707478477058	0.1102930127723516	rank_biserial_r				bg > sub	121.0	110.0	0.0413997490905817	0.058936371538549345		0.5704721876305943	False
H2.2	HSP60 vs matrix_bg	mann_whitney_u	contact_order_asymmetry	265	8544.0	0.7875297031787033	0.019283746556473802	rank_biserial_r				bg > sub	121.0	144.0	0.0645351829615667	0.08034681376149615		0.9489826550465656	False
H2.2	HSP60 vs mito_bg	mann_whitney_u	contact_order_asymmetry	231	6357.0	0.5575608304051747	0.044778362133733984	rank_biserial_r				sub > bg	121.0	110.0	0.0645351829615667	0.058936371538549345		0.9489826550465656	False
H2.2	GroEL vs mito_bg	mann_whitney_u	mean_plddt_asymmetry	262	7696.0	0.19015739587686475	0.09416195856873821	rank_biserial_r				bg > sub	144.0	118.0	0.5915981826149448	2.0344336433471923		0.5704721876305943	False
H2.2	HSP60 vs matrix_bg	mann_whitney_u	mean_plddt_asymmetry	303	10114.0	0.10593004386244168	0.10811287477954146	rank_biserial_r				bg > sub	135.0	168.0	0.2203762029746343	1.2297952435478905		0.5704721876305943	False
H2.2	GroEL vs mito_bg	mann_whitney_u	frac_helix_asymmetry	262	8443.0	0.9314425880370747	0.006238229755178959	rank_biserial_r				bg > sub	144.0	118.0	-0.0253079723903522	-0.0237703352778151		0.9489826550465656	False
H2.2	HSP60 vs matrix_bg	mann_whitney_u	frac_helix_asymmetry	303	11389.0	0.9489826550465656	-0.004320987654321096	rank_biserial_r				sub > bg	135.0	168.0	0.0204983612878348	0.0151461931300748		0.9489826550465656	False
H2.2	GroEL vs mito_bg	mann_whitney_u	frac_strand_asymmetry	262	7960.0	0.3801674057388813	0.0630885122410546	rank_biserial_r				bg > sub	144.0	118.0	0.032365425845642254	0.0332640562077147		0.8553766629124829	False
H2.2	HSP60 vs matrix_bg	mann_whitney_u	frac_strand_asymmetry	303	11589.5	0.7425352094220723	-0.02200176366843043	rank_biserial_r				bg > sub	135.0	168.0	0.012868386281381	0.0170325367092494		0.9489826550465656	False
H2.3	groel_classes	kruskal_wallis	relative_contact_order_asymmetry	118	0.3237582834204318	0.8505439936211069	-0.014326852278457848	eta_squared									{'I': 19, 'II': 64, 'III': 35}	0.9644755030007973	False
H2.3	groel_classes	kruskal_wallis	mean_plddt_asymmetry	141	0.9476386906080734	0.6226197215848563	-0.007516866495656619	eta_squared									{'I': 25, 'II': 70, 'III': 46}	0.9644755030007973	False
H2.3	groel_classes	kruskal_wallis	frac_helix_asymmetry	141	0.07234169122045842	0.9644755030007973	-0.013768987919853868	eta_squared									{'I': 25, 'II': 70, 'III': 46}	0.9644755030007973	False
H2.3	groel_classes	kruskal_wallis	frac_strand_asymmetry	141	0.1843966519862429	0.9119242733222969	-0.012968595342955408	eta_squared									{'I': 25, 'II': 70, 'III': 46}	0.9644755030007973	False
