uniprot_accession	source_dataset	n_domains	groel_class	length_n_domain	length_c_region	length_diff	length_ratio	net_charge_n_domain	net_charge_c_region	net_charge_diff	net_charge_ratio	frac_hydrophobic_n_domain	frac_hydrophobic_c_region	frac_hydrophobic_diff	frac_hydrophobic_ratio	frac_helix_n_domain	frac_helix_c_region	frac_helix_diff	frac_helix_ratio	frac_strand_n_domain	frac_strand_c_region	frac_strand_diff	frac_strand_ratio	mean_plddt_n_domain	mean_plddt_c_region	mean_plddt_diff	mean_plddt_ratio	frac_plddt_gt70_n_domain	frac_plddt_gt70_c_region	frac_plddt_gt70_diff	frac_plddt_gt70_ratio	relative_contact_order_n_domain	relative_contact_order_c_region	relative_contact_order_diff	relative_contact_order_ratio
A0A087WU62	hsp60	2		55.0	85.0	-30.0	0.6470588235294118	-1.0	-2.0	1.0	0.5	0.3454545454545454	0.3411764705882353	0.0042780748663101	1.012539184952978	0.7272727272727273	0.0117647058823529	0.7155080213903744	61.81818181818182	0.0181818181818181	0.1294117647058823	-0.1112299465240641	0.140495867768595	92.89690909090908	79.69435294117648	13.202556149732615	1.16566488919833	1.0	0.788235294117647	0.2117647058823529	1.2686567164179106	0.1863636363636363	0.2086687306501548	-0.0223050942865184	0.8931076342055572
A3KMH1	matrix,mito	4		189.0	1628.0	-1439.0	0.1160933660933661	4.0	-14.0	18.0	-0.2857142857142857	0.3809523809523809	0.366093366093366	0.0148590148590148	1.0405880472994566	0.3862433862433862	0.3273955773955774	0.0588478088478088	1.179745277306253	0.2328042328042328	0.2555282555282555	-0.0227240227240227	0.911070411070411	88.93015873015872	79.29331081081082	9.6368479193479	1.121534185176614	1.0	0.8378378378378378	0.1621621621621621	1.1935483870967742	0.3157866321131627	0.0474543774543774	0.2683322546587852	6.654531131859424
A4D1E9	matrix,mito	2		136.0	240.0	-104.0	0.5666666666666667	12.0	-5.0	17.0	-2.4	0.3382352941176471	0.3875	-0.0492647058823529	0.872865275142315	0.0955882352941176	0.3791666666666666	-0.283578431372549	0.2521008403361344	0.375	0.1791666666666666	0.1958333333333333	2.0930232558139537	91.49764705882352	76.27612500000002	15.22152205882351	1.199558145603536	0.9705882352941176	0.6791666666666667	0.2914215686274509	1.4290869722121975	0.378181405012336	0.1795882936507936	0.1985931113615424	2.1058243681946403
A6NJ78	matrix,mito	2		333.0	3.0	330.0	111.0	5.0	1.0	4.0	5.0	0.3903903903903903	0.6666666666666666	-0.2762762762762762	0.5855855855855856	0.4414414414414414	0.0	0.4414414414414414		0.1441441441441441	0.6666666666666666	-0.5225225225225225	0.2162162162162162	90.21177177177178	97.29	-7.078228228228227	0.9272460866663764	0.8978978978978979	1.0	-0.1021021021021021	0.8978978978978979	0.1854554173945808			
A6NK06	matrix,mito	2		399.0	57.0	342.0	7.0	1.0	-3.0	4.0	-0.3333333333333333	0.4185463659147869	0.3508771929824561	0.0676691729323308	1.1928571428571428	0.5012531328320802	0.4035087719298245	0.0977443609022556	1.2422360248447204	0.0977443609022556	0.0	0.0977443609022556		98.07070175438596	76.69350877192984	21.37719298245611	1.278735362676225	0.9974937343358397	0.6491228070175439	0.3483709273182956	1.5366795366795365	0.1725651708890059	0.4645873944119558	-0.2920222235229498	0.3714374797177345
B4DJ38	mito	3		83.0	478.0	-395.0	0.1736401673640167	1.0	5.0	-4.0	0.2	0.3614457831325301	0.3912133891213389	-0.0297676059888087	0.9239095419109592	0.7710843373493976	0.5292887029288703	0.2417956344205273	1.4568312776798895	0.0	0.0104602510460251	-0.0104602510460251	0.0	90.59409638554216	70.19512552301255	20.39897086252961	1.2906038091753549	1.0	0.6652719665271967	0.3347280334728033	1.5031446540880502	0.3050499871827736	0.0944693044841512	0.2105806826986223	3.2290910666538317
G3V325	hsp60	3		83.0	478.0	-395.0	0.1736401673640167	1.0	7.0	-6.0	0.1428571428571428	0.3614457831325301	0.3912133891213389	-0.0297676059888087	0.9239095419109592	0.7349397590361446	0.5271966527196653	0.2077431063164793	1.3940524000764964	0.0	0.00836820083682	-0.00836820083682	0.0	89.36759036144579	70.07267782426779	19.294912537178007	1.2753557183238649	1.0	0.6694560669456067	0.3305439330543933	1.49375	0.3057883708748035	0.0942559016478123	0.2115324692269911	3.244235804113181
O00154	matrix,mito	2		150.0	175.0	-25.0	0.8571428571428571	0.0	1.0	-1.0	0.0	0.3533333333333333	0.3428571428571428	0.0104761904761904	1.0305555555555554	0.2866666666666667	0.2857142857142857	0.0009523809523809	1.0033333333333334	0.3866666666666666	0.32	0.0666666666666666	1.2083333333333333	96.00533333333334	90.75057142857143	5.2547619047619065	1.0579033478472128	0.9933333333333332	0.9085714285714286	0.0847619047619047	1.0932914046121591	0.2506987399770904	0.2322326775021385	0.0184660624749519	1.079515349319356
O00330	hsp60,matrix,mito	3		94.0	353.0	-259.0	0.2662889518413597	-10.0	7.0	-17.0	-1.4285714285714286	0.4042553191489361	0.3654390934844193	0.0388162256645168	1.10621804387267	0.0319148936170212	0.3229461756373937	-0.2910312820203725	0.0988241881298992	0.4042553191489361	0.1926345609065155	0.2116207582424205	2.098560700876095	81.69074468085107	81.80175637393768	-0.1110116930866098	0.9986429179762456	0.8404255319148937	0.7705382436260623	0.0698872882888314	1.0906993116395496	0.3475526674352793	0.1683262009523235	0.1792264664829557	2.0647567964402618
O00408	mito	3		174.0	554.0	-380.0	0.3140794223826715	-12.0	-22.0	10.0	0.5454545454545454	0.367816091954023	0.3898916967509025	-0.0220756047968795	0.9433801617709664	0.4712643678160919	0.6155234657039711	-0.1442590978878791	0.7656318468331816	0.264367816091954	0.0776173285198556	0.1867504875720984	3.40604116546378	87.37367816091954	88.36916967509026	-0.9954915141707232	0.9887348549518924	0.942528735632184	0.9169675090252708	0.025561226606913	1.027875825866594	0.2399888765294772	0.0934767490616786	0.1465121274677985	2.567364386743121
O00411	hsp60,matrix,mito	4		159.0	844.0	-685.0	0.188388625592417	4.0	17.0	-13.0	0.2352941176470588	0.4276729559748428	0.3827014218009478	0.0449715341738949	1.1175107580271435	0.6415094339622641	0.5509478672985783	0.0905615666636858	1.1643741123960234	0.0	0.1090047393364928	-0.1090047393364928	0.0	91.6735849056604	92.19850710900477	-0.5249222033443601	0.9943066084277944	0.9874213836477987	0.9537914691943128	0.0336299144534859	1.035259189812102	0.1720284150038459	0.1385244258111556	0.0335039891926902	1.2418634042083294
O00429	mito	3		310.0	426.0	-116.0	0.7276995305164319	0.0	-5.0	5.0	-0.0	0.3806451612903225	0.3732394366197183	0.0074057246706042	1.0198417528910528	0.4129032258064516	0.5915492957746479	-0.1786460699681962	0.6980030721966206	0.1580645161290322	0.0	0.1580645161290322		83.14867741935484	71.5988262910798	11.549851128275035	1.1613134142914572	0.8612903225806452	0.6408450704225352	0.2204452521581099	1.3439914923785892	0.2256048387096774	0.3991134305835009	-0.1735085918738235	0.5652649633459961
