Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	Small protein MgtS	Escherichia coli (strain K12)	31	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21778229, ECO:0000305|PubMed:19121005}; Single-pass membrane protein {ECO:0000269|PubMed:21778229}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix	cellular response to magnesium starvation [GO:0010350]; magnesium ion homeostasis [GO:0010960]	plasma membrane [GO:0005886]
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	Escherichia coli (strain K12)	66		3D-structure;Nucleotide-binding;Phosphoprotein;Reference proteome;Thiamine biosynthesis;Thioester bond	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]	adenylyltransferase complex [GO:1902503]; sulfurtransferase complex [GO:1990228]
P00350	6PGD_ECOLI	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Escherichia coli (strain K12)	468		3D-structure;Gluconate utilization;NADP;Oxidoreductase;Pentose shunt;Reference proteome	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]	cytosol [GO:0005829]
P00363	FRDA_ECOLI	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	Escherichia coli (strain K12)	602	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:10373108, ECO:0000305|PubMed:20484676}; Peripheral membrane protein {ECO:0000305|PubMed:10373108}; Cytoplasmic side {ECO:0000305|PubMed:10373108}.	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;FAD;Flavoprotein;Membrane;Nucleotide-binding;Oxidoreductase;Reference proteome;Transport	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	cytosol [GO:0005829]; fumarate reductase complex [GO:0045283]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P00370	DHE4_ECOLI	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	Escherichia coli (strain K12)	447		3D-structure;Direct protein sequencing;NADP;Oxidoreductase;Reference proteome	glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]
P00393	NDH_ECOLI	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	Escherichia coli (strain K12)	434	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; Peripheral membrane protein {ECO:0000269|PubMed:10664466, ECO:0000305|PubMed:12176061}; Cytoplasmic side {ECO:0000305|PubMed:12176061}. Note=Membrane-bound (PubMed:10664466). Interaction with the membrane is probably mediated by amphipathic helices and electrostatic interactions (PubMed:15581635). Copurifies with phospholipids (PubMed:6362717, PubMed:7020757). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:15581635, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:7020757}.	Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;FAD;Flavoprotein;Membrane;NAD;Oxidoreductase;Reference proteome;Transport;Ubiquinone	aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]
P00448	SODM_ECOLI	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	Escherichia coli (strain K12)	206		3D-structure;Direct protein sequencing;Manganese;Metal-binding;Oxidoreductase;Reference proteome	cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	Escherichia coli (strain K12)	761		3D-structure;Acetylation;Allosteric enzyme;Alternative initiation;ATP-binding;Deoxyribonucleotide synthesis;Direct protein sequencing;Disulfide bond;Nucleotide-binding;Oxidoreductase;Reference proteome	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]
P00490	PHSM_ECOLI	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)	Escherichia coli (strain K12)	797		3D-structure;Acetylation;Allosteric enzyme;Carbohydrate metabolism;Direct protein sequencing;Glycosyltransferase;Pyridoxal phosphate;Reference proteome;Transferase	alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P00509	AAT_ECOLI	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	Escherichia coli (strain K12)	396	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Aminotransferase;Cytoplasm;Direct protein sequencing;Pyridoxal phosphate;Reference proteome;Transferase	L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
