uniprot_id	entry_name	description	uniprot_mass	entrez_gene_id	gene_name	present_-HS	present_+HS	mitocarta	matrix	IMS	functional_category	subcategory	ibaq_-HS	ibaq_+HS	log10_ibaq_-HS	log10_ibaq_+HS	log10_ibaq_HEK293	percent_occupancy	log10_ratio	silac_ratio_coIP1	silac_ratio_coIP2	silac_ratio_coIP3	median_silac_ratio	n_silac_replicates	n_ndic_replicates	median_silac_imputed	has_quantitative_data	flag	quality_tier
P06576	ATPB_HUMAN	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	56.56	506.0	ATP5B	X	X	X	X	o	respiratory chain	complex V subunit	51855000.0	41277333.333333336	7.714790638598087	7.615711632513851	8.404783333333333	0.0924445087132474	0.9179047612091632	26.742	8.809796493700995	45.36176003628941	26.742	3	0	26.742	True	candidate_substrate	Tier 1
P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	35.503	4191.0	MDH2	X	X	X	X	o	tricarboxylic acid cycle	tricarboxylic acid cycle	44990666.66666666	34694666.666666664	7.653122428540304	7.540262719307991	8.405276333333333	0.080207117475296	0.9105140777097162	37.723	15.481074386562428	20.504828887202937	20.504828887202937	3	0	20.504828887202937	True	candidate_substrate	Tier 1
P25705	ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	59.751	498.0	ATP5A1	X	X	X	X	o	respiratory chain	complex V subunit	36485000.0	29107333.33333333	7.562114350588686	7.464002419397338	8.20482	0.0650436390011152	0.9216673066062006	28.495	19.816106531388712	66.80919294494922	28.495	3	0	28.495	True	candidate_substrate	Tier 1
Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	80.11	10131.0	TRAP1	X	X	X	X	o	protein quality control	chaperone	32152000.0	32079666.666666668	7.507207993183978	7.506229846969376	7.622002666666667	0.0573189826274868	0.9849390404985398	34.959	9.113278046113187	28.036335090277	28.036335090277	3	0	28.036335090277	True	co_chaperone	Excluded
P38646	GRP75_HUMAN	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	73.68	3313.0	HSPA9	X	X	X	X	o	protein quality control	chaperone	31036333.33333333	28381333.33333333	7.491870407587396	7.453032794423326	8.180752	0.0553300277169141	0.9157923877398308	26.007	64.53694740238787	164.72293602161164	64.53694740238787	3	0	64.53694740238787	True	co_chaperone	Excluded
P00505	AATM_HUMAN	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	47.518	2806.0	GOT2	X	X	X	X	X	amino acid metabolism		27211000.0	21219666.666666668	7.434744502327412	7.326738557418086	7.848605333333334	0.0485104141663518	0.9472695066920692	34.141	14.192248194036418	25.938318678183283	25.938318678183283	3	0	25.938318678183283	True	candidate_substrate	Tier 1
P30048	PRDX3_HUMAN	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog)	27.693	10935.0	PRDX3	X	X	X	X	X	antioxidant enzyme		24927800.0	17897933.333333332	7.396683951587591	7.252802886077844	8.234578	0.0444400390377415	0.8982468745317114	39.749	24.281863875871114	59.43536404160476	39.749	3	0	39.749	True	candidate_substrate	Tier 1
P34897	GLYM_HUMAN	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	55.993	6472.0	SHMT2	X	X	X	X	o	one carbon metabolism		20323566.666666668	15224066.666666666	7.307999926433013	7.182530677072321	7.989238333333333	0.0362318414000758	0.914730493887258	38.337	10.434274504893674	25.977399662293802	25.9773996622938	3	0	25.9773996622938	True	candidate_substrate	Tier 1
Q99714	HCD2_HUMAN	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	26.923	3028.0	HSD17B10	X	X	X	X	o	lipid metabolism		14685800.0	12720833.333333334	7.166897609430298	7.104515562587055	7.910401666666668	0.0261811120636584	0.906009316774723	9.135	5.414478315014349	10.541851149061776	9.135	3	0	9.135	True	candidate_substrate	Tier 1
P49411	EFTU_HUMAN	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	49.542	7284.0	TUFM	X	X	X	X	o	mitochondrial protein synthesis	translation	11661733.333333334	9570400.0	7.066763106268187	6.980930089726937	8.238479	0.0207899567784186	0.8577752163073047	29.529	10.66427786842414	10.308215647871354	10.66427786842414	3	0	10.66427786842414	True	candidate_substrate	Tier 1
