accession	n_domains	top_superfamily	source
A0A024RBG1	1	3.90.79.10	InterPro_Gene3D
A0A075B6H5	1	2.60.40.10	InterPro_Gene3D
A0A075B6H7	1	2.60.40.10	InterPro_Gene3D
A0A075B6H8	1	2.60.40.10	InterPro_Gene3D
A0A075B6H9	1	2.60.40.10	InterPro_Gene3D
A0A075B6I0	1	2.60.40.10	InterPro_Gene3D
A0A075B6I1	1	2.60.40.10	InterPro_Gene3D
A0A075B6I3	1	2.60.40.10	InterPro_Gene3D
A0A075B6I4	1	2.60.40.10	InterPro_Gene3D
A0A075B6I6	1	2.60.40.10	InterPro_Gene3D
A0A075B6I7	1	2.60.40.10	InterPro_Gene3D
A0A075B6I9	1	2.60.40.10	InterPro_Gene3D
A0A075B6J1	1	2.60.40.10	InterPro_Gene3D
A0A075B6J2	1	2.60.40.10	InterPro_Gene3D
A0A075B6J6	1	2.60.40.10	InterPro_Gene3D
A0A075B6J9	1	2.60.40.10	InterPro_Gene3D
A0A075B6K0	1	2.60.40.10	InterPro_Gene3D
A0A075B6K2	1	2.60.40.10	InterPro_Gene3D
A0A075B6K4	1	2.60.40.10	InterPro_Gene3D
A0A075B6K5	1	2.60.40.10	InterPro_Gene3D
A0A075B6K6	1	2.60.40.10	InterPro_Gene3D
A0A075B6L2	1	2.60.40.10	InterPro_Gene3D
A0A075B6L6	1	2.60.40.10	InterPro_Gene3D
A0A075B6N1	1	2.60.40.10	InterPro_Gene3D
A0A075B6N2	1	2.60.40.10	InterPro_Gene3D
A0A075B6N3	1	2.60.40.10	InterPro_Gene3D
A0A075B6N4	1	2.60.40.10	InterPro_Gene3D
A0A075B6P5	1	2.60.40.10	InterPro_Gene3D
A0A075B6Q5	1	2.60.40.10	InterPro_Gene3D
A0A075B6R0	1	2.60.40.10	InterPro_Gene3D
A0A075B6R2	1	2.60.40.10	InterPro_Gene3D
A0A075B6R9	1	2.60.40.10	InterPro_Gene3D
A0A075B6S2	1	2.60.40.10	InterPro_Gene3D
A0A075B6S4	1	2.60.40.10	InterPro_Gene3D
A0A075B6S5	1	2.60.40.10	InterPro_Gene3D
A0A075B6S6	1	2.60.40.10	InterPro_Gene3D
A0A075B6S9	1	2.60.40.10	InterPro_Gene3D
A0A075B6T6	1	2.60.40.10	InterPro_Gene3D
A0A075B6T7	1	2.60.40.10	InterPro_Gene3D
A0A075B6T8	1	2.60.40.10	InterPro_Gene3D
A0A075B6U4	1	2.60.40.10	InterPro_Gene3D
A0A075B6U6	1	2.60.40.10	InterPro_Gene3D
A0A075B6V5	1	2.60.40.10	InterPro_Gene3D
A0A075B6W5	1	2.60.40.10	InterPro_Gene3D
A0A075B6X5	1	2.60.40.10	InterPro_Gene3D
A0A075B734	1	1.20.1080.10	InterPro_Gene3D
A0A075B759	1	2.40.100.10	InterPro_Gene3D
A0A075B767	1	2.40.100.10	InterPro_Gene3D
A0A075B7B6	1	2.60.40.10	InterPro_Gene3D
A0A075B7B8	1	2.60.40.10	InterPro_Gene3D
A0A075B7D0	1	2.60.40.10	InterPro_Gene3D
A0A075B7D4	1	2.60.40.10	InterPro_Gene3D
A0A075B7D8	1	2.60.40.10	InterPro_Gene3D
A0A075B7E8	1	2.60.40.10	InterPro_Gene3D
A0A075B7F0	1	2.60.40.10	InterPro_Gene3D
A0A075B7F1	1	2.60.40.10	InterPro_Gene3D
A0A087WSX0	1	2.60.40.10	InterPro_Gene3D
A0A087WSY4	1	2.60.40.10	InterPro_Gene3D
A0A087WSY6	1	2.60.40.10	InterPro_Gene3D
A0A087WSZ0	1	2.60.40.10	InterPro_Gene3D
A0A087WSZ9	1	2.60.40.10	InterPro_Gene3D
A0A087WT01	1	2.60.40.10	InterPro_Gene3D
A0A087WT02	1	2.60.40.10	InterPro_Gene3D
A0A087WT03	1	2.60.40.10	InterPro_Gene3D
A0A087WU62	2	3.10.450.240	CATH_pilot
A0A087WUV0	10	3.30.160.60	InterPro_Gene3D
A0A087WV53	2	2.60.40.10	InterPro_Gene3D
A0A087WV62	1	2.60.40.10	InterPro_Gene3D
A0A087WVF3	3	1.10.10.750	InterPro_Gene3D
A0A087WW49	1	2.60.40.10	InterPro_Gene3D
A0A087WW87	1	2.60.40.10	InterPro_Gene3D
A0A087WWS6	1	1.20.1250.10	InterPro_Gene3D
A0A087WXS9	3	1.10.10.750	InterPro_Gene3D
A0A087WYE8	1	2.60.40.10	InterPro_Gene3D
A0A087WZ39	1	2.60.40.10	InterPro_Gene3D
A0A087X0K7	1	2.60.40.10	InterPro_Gene3D
A0A087X0M5	1	2.60.40.10	InterPro_Gene3D
A0A087X179	2	1.10.472.80	InterPro_Gene3D
A0A087X1C5	1	1.10.630.10	InterPro_Gene3D
A0A087X1G2	3	1.10.10.750	InterPro_Gene3D
A0A096LNW5	6	2.10.25.10	InterPro_Gene3D
A0A096LP55	1	1.10.287.20	InterPro_Gene3D
A0A096LPK9	1	1.20.1070.10	InterPro_Gene3D
A0A0A0MRZ7	1	2.60.40.10	InterPro_Gene3D
A0A0A0MRZ8	1	2.60.40.10	InterPro_Gene3D
A0A0A0MRZ9	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS00	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS01	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS02	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS03	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS04	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS05	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS06	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS14	1	2.60.40.10	InterPro_Gene3D
A0A0A0MS15	1	2.60.40.10	InterPro_Gene3D
A0A0A0MT36	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYC5	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYD4	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYG2	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYG3	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYJ7	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYK1	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYK4	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYK6	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYK7	1	2.60.40.10	InterPro_Gene3D
A0A0A6YYL3	1	1.25.40.20	InterPro_Gene3D
A0A0B4J1T7	1	2.10.60.10	InterPro_Gene3D
A0A0B4J1U3	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1U4	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1U6	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1U7	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1V0	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1V1	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1V2	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1V6	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1V7	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1X5	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1X8	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1Y8	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1Y9	1	2.60.40.10	InterPro_Gene3D
A0A0B4J1Z2	1	2.60.40.10	InterPro_Gene3D
