uniprot_accession	source_dataset	n_domains	groel_class	length_n_domain	length_c_region	length_diff	length_ratio	net_charge_n_domain	net_charge_c_region	net_charge_diff	net_charge_ratio	frac_hydrophobic_n_domain	frac_hydrophobic_c_region	frac_hydrophobic_diff	frac_hydrophobic_ratio	frac_helix_n_domain	frac_helix_c_region	frac_helix_diff	frac_helix_ratio	frac_strand_n_domain	frac_strand_c_region	frac_strand_diff	frac_strand_ratio	mean_plddt_n_domain	mean_plddt_c_region	mean_plddt_diff	mean_plddt_ratio	frac_plddt_gt70_n_domain	frac_plddt_gt70_c_region	frac_plddt_gt70_diff	frac_plddt_gt70_ratio	relative_contact_order_n_domain	relative_contact_order_c_region	relative_contact_order_diff	relative_contact_order_ratio
A0A087WU62	hsp60	2		55.0	85.0	-30.0	0.6470588235294118	-1.0	-2.0	1.0	0.5	0.34545454545454546	0.3411764705882353	0.004278074866310155	1.0125391849529781	0.7272727272727273	0.011764705882352941	0.7155080213903744	61.81818181818182	0.01818181818181818	0.12941176470588237	-0.11122994652406418	0.14049586776859502	92.89690909090909	79.69435294117648	13.202556149732615	1.1656648891983301	1.0	0.788235294117647	0.21176470588235297	1.2686567164179106	0.18636363636363637	0.2086687306501548	-0.022305094286518418	0.8931076342055572
A3KMH1	matrix,mito	4		189.0	1628.0	-1439.0	0.1160933660933661	4.0	-14.0	18.0	-0.2857142857142857	0.38095238095238093	0.36609336609336607	0.014859014859014863	1.0405880472994566	0.3862433862433862	0.3273955773955774	0.058847808847808825	1.179745277306253	0.2328042328042328	0.25552825552825553	-0.02272402272402274	0.911070411070411	88.93015873015872	79.29331081081082	9.6368479193479	1.121534185176614	1.0	0.8378378378378378	0.16216216216216217	1.1935483870967742	0.3157866321131627	0.04745437745437745	0.26833225465878524	6.654531131859424
A4D1E9	matrix,mito	2		136.0	240.0	-104.0	0.5666666666666667	12.0	-5.0	17.0	-2.4	0.3382352941176471	0.3875	-0.04926470588235293	0.872865275142315	0.09558823529411764	0.37916666666666665	-0.283578431372549	0.25210084033613445	0.375	0.17916666666666667	0.19583333333333333	2.0930232558139537	91.49764705882353	76.27612500000002	15.22152205882351	1.199558145603536	0.9705882352941176	0.6791666666666667	0.29142156862745094	1.4290869722121977	0.37818140501233605	0.17958829365079365	0.1985931113615424	2.1058243681946403
A6NJ78	matrix,mito	2		333.0	3.0	330.0	111.0	5.0	1.0	4.0	5.0	0.39039039039039036	0.6666666666666666	-0.27627627627627627	0.5855855855855856	0.44144144144144143	0.0	0.44144144144144143		0.14414414414414414	0.6666666666666666	-0.5225225225225225	0.21621621621621623	90.21177177177178	97.29	-7.078228228228227	0.9272460866663765	0.8978978978978979	1.0	-0.10210210210210213	0.8978978978978979	0.18545541739458088			
A6NK06	matrix,mito	2		399.0	57.0	342.0	7.0	1.0	-3.0	4.0	-0.3333333333333333	0.41854636591478694	0.3508771929824561	0.06766917293233082	1.1928571428571428	0.5012531328320802	0.40350877192982454	0.09774436090225563	1.2422360248447204	0.09774436090225563	0.0	0.09774436090225563		98.07070175438595	76.69350877192984	21.37719298245611	1.278735362676225	0.9974937343358395	0.6491228070175439	0.34837092731829566	1.5366795366795365	0.17256517088900594	0.4645873944119558	-0.2920222235229498	0.3714374797177345
B4DJ38	mito	3		83.0	478.0	-395.0	0.17364016736401675	1.0	5.0	-4.0	0.2	0.3614457831325301	0.3912133891213389	-0.029767605988808787	0.9239095419109593	0.7710843373493976	0.5292887029288703	0.24179563442052732	1.4568312776798895	0.0	0.010460251046025104	-0.010460251046025104	0.0	90.59409638554216	70.19512552301255	20.39897086252961	1.2906038091753547	1.0	0.6652719665271967	0.33472803347280333	1.5031446540880502	0.30504998718277365	0.09446930448415129	0.21058068269862235	3.2290910666538313
G3V325	hsp60	3		83.0	478.0	-395.0	0.17364016736401675	1.0	7.0	-6.0	0.14285714285714285	0.3614457831325301	0.3912133891213389	-0.029767605988808787	0.9239095419109593	0.7349397590361446	0.5271966527196653	0.2077431063164793	1.3940524000764964	0.0	0.008368200836820083	-0.008368200836820083	0.0	89.36759036144579	70.07267782426779	19.294912537178007	1.2753557183238649	1.0	0.6694560669456067	0.33054393305439334	1.4937500000000001	0.30578837087480354	0.09425590164781239	0.21153246922699115	3.244235804113181
O00154	matrix,mito	2		150.0	175.0	-25.0	0.8571428571428571	0.0	1.0	-1.0	0.0	0.35333333333333333	0.34285714285714286	0.010476190476190472	1.0305555555555554	0.2866666666666667	0.2857142857142857	0.0009523809523809823	1.0033333333333334	0.38666666666666666	0.32	0.06666666666666665	1.2083333333333333	96.00533333333334	90.75057142857143	5.2547619047619065	1.0579033478472128	0.9933333333333333	0.9085714285714286	0.0847619047619047	1.0932914046121593	0.25069873997709047	0.23223267750213855	0.018466062474951916	1.079515349319356
O00330	hsp60,matrix,mito	3		94.0	353.0	-259.0	0.26628895184135976	-10.0	7.0	-17.0	-1.4285714285714286	0.40425531914893614	0.3654390934844193	0.03881622566451687	1.10621804387267	0.031914893617021274	0.32294617563739375	-0.2910312820203725	0.09882418812989921	0.40425531914893614	0.19263456090651557	0.21162075824242058	2.098560700876095	81.69074468085107	81.80175637393768	-0.11101169308660985	0.9986429179762456	0.8404255319148937	0.7705382436260623	0.0698872882888314	1.0906993116395496	0.3475526674352793	0.16832620095232353	0.17922646648295576	2.0647567964402618
O00408	mito	3		174.0	554.0	-380.0	0.3140794223826715	-12.0	-22.0	10.0	0.5454545454545454	0.367816091954023	0.3898916967509025	-0.022075604796879533	0.9433801617709664	0.47126436781609193	0.6155234657039711	-0.14425909788787916	0.7656318468331816	0.26436781609195403	0.0776173285198556	0.18675048757209844	3.4060411654637797	87.37367816091954	88.36916967509026	-0.9954915141707232	0.9887348549518924	0.9425287356321839	0.9169675090252708	0.025561226606913068	1.027875825866594	0.2399888765294772	0.09347674906167865	0.14651212746779857	2.567364386743121
