accession	source	n_domains	datasets	groel_class	protein_length	length_n_domain	length_c_region	length_diff	net_charge_n_domain	net_charge_c_region	net_charge_diff	frac_hydrophobic_n_domain	frac_hydrophobic_c_region	frac_hydrophobic_diff	frac_helix_n_domain	frac_helix_c_region	frac_helix_diff	frac_strand_n_domain	frac_strand_c_region	frac_strand_diff	mean_plddt_n_domain	mean_plddt_c_region	mean_plddt_diff	frac_plddt_gt70_n_domain	frac_plddt_gt70_c_region	frac_plddt_gt70_diff	relative_contact_order_n_domain	relative_contact_order_c_region	relative_contact_order_diff	foldx_total_energy
A0A385XJE6	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4585365853658537	0.2458112407211028	0.0	0.2195121951219512	-0.2195121951219512	93.58617427660072	92.9212195047518	0.6649547718489117	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2380922790119621	0.0651834803686216	-60.64
A3KMH1	CATH	4	matrix_bg,mito_bg		1905	189	1628	-1439	4	-14	18	0.3809523809523809	0.366093366093366	0.0148590148590148	0.4179894179894179	0.3464373464373464	0.0715520715520715	0.2328042328042328	0.2628992628992629	-0.0300950300950301	88.9301586252041	79.2933108109514	9.636847814252704	1.0	0.8378378378378378	0.1621621621621621	0.3157866321131627	0.0474543774543774	0.2683322546587852	616.33
A4D1E9	CATH	2	matrix_bg,mito_bg		387	136	240	-104	12	-5	17	0.3382352941176471	0.3875	-0.0492647058823529	0.0735294117647058	0.4166666666666667	-0.3431372549019608	0.3823529411764705	0.1916666666666666	0.1906862745098038	91.4976469488705	76.27612476348877	15.22152218538173	0.9705882352941176	0.6791666666666667	0.2914215686274509	0.378181405012336	0.1795882936507936	0.1985931113615424	110.77
A6NK06	CATH	2	matrix_bg,mito_bg		481	399	57	342	1	-3	4	0.4185463659147869	0.3508771929824561	0.0676691729323308	0.5238095238095238	0.4736842105263157	0.050125313283208	0.0952380952380952	0.0	0.0952380952380952	98.07070167560626	76.69350838242916	21.3771932931771	0.9974937343358397	0.6491228070175439	0.3483709273182956	0.1725651708890059	0.4645873944119558	-0.2920222235229498	-2.78
O00154	CATH	2	matrix_bg,mito_bg		380	150	175	-25	0	1	-1	0.3533333333333333	0.3428571428571428	0.0104761904761904	0.2933333333333333	0.2857142857142857	0.0076190476190476	0.4133333333333333	0.3371428571428571	0.0761904761904762	96.00533340454102	90.75057131086076	5.254762093680256	0.9933333333333332	0.9085714285714286	0.0847619047619047	0.2506987399770904	0.2322326775021385	0.0184660624749519	45.88
O00330	CATH	3	hsp60,matrix_bg,mito_bg		501	94	353	-259	-10	7	-17	0.4042553191489361	0.3654390934844193	0.0388162256645168	0.0	0.3286118980169972	-0.3286118980169972	0.4893617021276595	0.1954674220963173	0.2938942800313422	81.69074480584327	81.80175633200842	-0.1110115261651571	0.8404255319148937	0.7705382436260623	0.0698872882888314	0.3475526674352793	0.1683262009523235	0.1792264664829557	329.42
O00408	CATH	3	mito_bg		941	174	554	-380	-12	-22	10	0.367816091954023	0.3898916967509025	-0.0220756047968795	0.4482758620689655	0.631768953068592	-0.1834930909996265	0.264367816091954	0.0776173285198556	0.1867504875720984	87.37367805393262	88.36916978264543	-0.9954917287128068	0.942528735632184	0.9169675090252708	0.025561226606913	0.2399888765294772	0.0934767490616786	0.1465121274677985	228.3
O00411	CATH	4	hsp60,matrix_bg,mito_bg		1230	159	844	-685	4	17	-13	0.4276729559748428	0.3827014218009478	0.0449715341738949	0.6855345911949685	0.5710900473933649	0.1144445438016036	0.0	0.1137440758293838	-0.1137440758293838	91.67358484808004	92.19850720500494	-0.524922356924904	0.9874213836477987	0.9537914691943128	0.0336299144534859	0.1720284150038459	0.1385244258111556	0.0335039891926902	352.52
O00429	CATH	3	mito_bg		736	310	426	-116	0	-5	5	0.3806451612903225	0.3732394366197183	0.0074057246706042	0.4258064516129032	0.607981220657277	-0.1821747690443738	0.1612903225806451	0.0	0.1612903225806451	83.14867754290181	71.59882641734092	11.549851125560892	0.8612903225806452	0.6408450704225352	0.2204452521581099	0.2256048387096774	0.3991134305835009	-0.1735085918738235	378.2
O00763	CATH	8	mito_bg		2458	159	2074	-1915	4	-43	47	0.4339622641509434	0.390549662487946	0.0434126016629974	0.4276729559748428	0.4257473481195757	0.001925607855267	0.1257861635220125	0.2343297974927676	-0.108543633970755	82.93974844014869	83.83817731586923	-0.8984288757205405	0.8805031446540881	0.8987463837994214	-0.0182432391453333	0.2108347627215551	0.0311349751719327	0.1796997875496224	993.81
