uniprot_accession	region	n_residues	n_contacts	abs_contact_order	relative_contact_order
A0A087WU62	n_domain	55	12	10.25	0.18636363636363637
A0A087WU62	c_region	85	38	17.736842105263158	0.2086687306501548
A0A087WU62	pre_domain	116	2	6.0	0.05172413793103448
A0A087WU62	full_protein	256	98	44.37755102040816	0.17334980867346939
A3KMH1	n_domain	189	294	59.683673469387756	0.3157866321131627
A3KMH1	c_region	1628	2925	77.25572649572649	0.04745437745437745
A3KMH1	pre_domain	88	38	12.078947368421053	0.13726076555023925
A3KMH1	full_protein	1905	3381	83.05974563738539	0.043600916345084194
A4D1E9	n_domain	136	453	51.432671081677704	0.37818140501233605
A4D1E9	c_region	240	336	43.101190476190474	0.17958829365079365
A4D1E9	pre_domain	11	0		
A4D1E9	full_protein	387	813	51.33948339483395	0.13266016381094042
A6NC05	n_domain	71	61	44.60655737704918	0.6282613715077349
A6NC05	c_region	38	2	6.5	0.17105263157894737
A6NC05	pre_domain	29	0		
A6NC05	full_protein	138	71	47.66197183098591	0.3453766074709124
A6NC05	n_half	36	2	6.5	0.18055555555555555
A6NC05	c_half	35	1	17.0	0.4857142857142857
A6NJ78	n_domain	333	526	61.756653992395435	0.18545541739458088
A6NJ78	c_region	3	0		
A6NJ78	pre_domain	71	0		
A6NJ78	full_protein	407	559	63.116279069767444	0.15507685275127137
A6NK06	n_domain	399	785	68.85350318471338	0.17256517088900594
A6NK06	c_region	57	27	26.48148148148148	0.4645873944119558
A6NK06	pre_domain	25	0		
A6NK06	full_protein	481	946	97.76532769556026	0.20325431953338932
A6NK58	n_domain	217	426	45.99530516431925	0.2119599316328076
A6NK58	c_region	10	0		
A6NK58	pre_domain	4	0		
A6NK58	full_protein	231	463	54.84233261339093	0.23741269529606462
A6NK58	n_half	109	185	37.72432432432432	0.34609471857178276
A6NK58	c_half	108	138	28.702898550724637	0.2657675791733763
A8MUP2	n_domain	209	393	35.94147582697201	0.17196878386111009
A8MUP2	pre_domain	31	0		
A8MUP2	full_protein	240	409	38.75305623471883	0.16147106764466176
A8MUP2	n_half	105	140	31.12142857142857	0.29639455782312923
A8MUP2	c_half	104	168	27.404761904761905	0.263507326007326
A8MXV4	n_domain	281	471	92.96178343949045	0.33082485209783075
A8MXV4	c_region	87	134	22.14179104477612	0.2545033453422543
A8MXV4	pre_domain	7	0		
A8MXV4	full_protein	375	675	81.03555555555556	0.21609481481481482
A8MXV4	n_half	141	135	42.25185185185185	0.299658523771999
A8MXV4	c_half	140	107	36.76635514018692	0.2626168224299065
B4DEF8	n_domain	171	280	36.19642857142857	0.21167502088554718
B4DEF8	c_region	19	0		
B4DEF8	pre_domain	139	3	7.0	0.050359712230215826
B4DEF8	full_protein	329	315	45.26031746031746	0.13756935398272785
B4DEF8	n_half	86	45	43.666666666666664	0.5077519379844961
B4DEF8	c_half	85	119	24.0	0.2823529411764706
B4DJ38	n_domain	83	94	25.319148936170212	0.30504998718277365
B4DJ38	c_region	478	403	45.15632754342432	0.09446930448415129
B4DJ38	pre_domain	188	1	55.0	0.2925531914893617
B4DJ38	full_protein	749	571	63.448336252189144	0.08471072930866375
G3V325	n_domain	83	92	25.380434782608695	0.30578837087480354
G3V325	c_region	478	405	45.05432098765432	0.09425590164781239
G3V325	pre_domain	188	0		
G3V325	full_protein	749	547	41.378427787934186	0.055244896913129754
H0UI37	n_domain	72	47	16.595744680851062	0.2304964539007092
H0UI37	pre_domain	25	0		
H0UI37	full_protein	97	47	16.595744680851062	0.17109015134898004
H0UI37	n_half	36	3	10.333333333333334	0.28703703703703703
H0UI37	c_half	36	15	12.6	0.35
O00142	n_domain	204	278	62.780575539568346	0.30774791931160955
O00142	c_region	26	0		
O00142	pre_domain	35	0		
O00142	full_protein	265	293	65.97952218430034	0.24897932899735975
O00142	n_half	102	106	45.27358490566038	0.44385867554569
O00142	c_half	102	80	39.25	0.38480392156862747
O00154	n_domain	150	291	37.60481099656357	0.25069873997709047
O00154	c_region	175	334	40.64071856287425	0.23223267750213855
O00154	pre_domain	55	1	6.0	0.10909090909090909
O00154	full_protein	380	716	51.960893854748605	0.13673919435460158
O00217	n_domain	125	186	42.03225806451613	0.33625806451612905
O00217	c_region	2	0		
O00217	pre_domain	83	3	6.0	0.07228915662650602
O00217	full_protein	210	192	41.151041666666664	0.19595734126984127
O00217	n_half	63	59	13.983050847457626	0.22195318805488295
O00217	c_half	62	22	20.59090909090909	0.3321114369501466
O00330	n_domain	94	203	32.669950738916256	0.3475526674352793
