uniprot_accession	cluster_id	cluster_representative	cluster_size	organism	dataset_labels
A0A024R1R8	3961	A0A024R1R8	1	unknown	background
A0A024RBG1	690	Q96G61	5	unknown	background
A0A024RCN7	3962	A0A024RCN7	1	unknown	background
A0A075B6H5	5	P01715	92	unknown	background
A0A075B6H7	5	P01715	92	unknown	background
A0A075B6H8	5	P01715	92	unknown	background
A0A075B6H9	5	P01715	92	unknown	background
A0A075B6I0	5	P01715	92	unknown	background
A0A075B6I1	5	P01715	92	unknown	background
A0A075B6I3	5	P01715	92	unknown	background
A0A075B6I4	5	P01715	92	unknown	background
A0A075B6I6	5	P01715	92	unknown	background
A0A075B6I7	5	P01715	92	unknown	background
A0A075B6I9	5	P01715	92	unknown	background
A0A075B6J1	5	P01715	92	unknown	background
A0A075B6J2	5	P01715	92	unknown	background
A0A075B6J6	5	P01715	92	unknown	background
A0A075B6J9	5	P01715	92	unknown	background
A0A075B6K0	5	P01715	92	unknown	background
A0A075B6K2	5	P01715	92	unknown	background
A0A075B6K4	5	P01715	92	unknown	background
A0A075B6K5	5	P01715	92	unknown	background
A0A075B6K6	5	P01715	92	unknown	background
A0A075B6L2	1061	A0A0A0MS01	3	unknown	background
A0A075B6L6	13	A0A0K0K1B3	52	unknown	background
A0A075B6N1	13	A0A0K0K1B3	52	unknown	background
A0A075B6N2	5	P01715	92	unknown	background
A0A075B6N3	13	A0A0K0K1B3	52	unknown	background
A0A075B6N4	13	A0A0K0K1B3	52	unknown	background
A0A075B6P5	5	P01715	92	unknown	background
A0A075B6Q5	6	P0DTE2	80	unknown	background
A0A075B6R0	433	A0A0C4DH27	6	unknown	background
A0A075B6R2	6	P0DTE2	80	unknown	background
A0A075B6R9	5	P01715	92	unknown	background
A0A075B6S0	3963	A0A075B6S0	1	unknown	background
A0A075B6S2	5	P01715	92	unknown	background
A0A075B6S4	5	P01715	92	unknown	background
A0A075B6S5	5	P01715	92	unknown	background
A0A075B6S6	5	P01715	92	unknown	background
A0A075B6S9	5	P01715	92	unknown	background
A0A075B6T6	15	A0A0A6YYK6	44	unknown	background
A0A075B6T7	15	A0A0A6YYK6	44	unknown	background
A0A075B6T8	15	A0A0A6YYK6	44	unknown	background
A0A075B6U4	15	A0A0A6YYK6	44	unknown	background
A0A075B6U6	15	A0A0A6YYK6	44	unknown	background
A0A075B6V2	3964	A0A075B6V2	1	unknown	background
A0A075B6V5	15	A0A0A6YYK6	44	unknown	background
A0A075B6W5	15	A0A0A6YYK6	44	unknown	background
A0A075B6X5	15	A0A0A6YYK6	44	unknown	background
A0A075B6Y3	3965	A0A075B6Y3	1	unknown	background
A0A075B6Y9	3966	A0A075B6Y9	1	unknown	background
A0A075B700	3967	A0A075B700	1	unknown	background
A0A075B706	3968	A0A075B706	1	unknown	background
A0A075B734	472	P0AER0	6	unknown	background
A0A075B759	66	Q9H2H8	18	unknown	background
A0A075B767	66	Q9H2H8	18	unknown	background
A0A075B7B6	6	P0DTE2	80	unknown	background
A0A075B7B8	6	P0DTE2	80	unknown	background
A0A075B7D0	6	P0DTE2	80	unknown	background
A0A075B7D4	5	P01715	92	unknown	background
A0A075B7D8	6	P0DTE2	80	unknown	background
A0A075B7E8	6	P0DTE2	80	unknown	background
A0A075B7F0	6	P0DTE2	80	unknown	background
A0A075B7F1	6	P0DTE2	80	unknown	background
A0A087WSX0	5	P01715	92	unknown	background
A0A087WSY4	6	P0DTE2	80	unknown	background
A0A087WSY6	5	P01715	92	unknown	background
A0A087WSZ0	5	P01715	92	unknown	background
A0A087WSZ9	15	A0A0A6YYK6	44	unknown	background
A0A087WT01	15	A0A0A6YYK6	44	unknown	background
A0A087WT02	15	A0A0A6YYK6	44	unknown	background
A0A087WT03	715	A0A0B4J268	4	unknown	background
A0A087WTH1	3969	A0A087WTH1	1	unknown	background
A0A087WUL8	123	A0AAG2UXD8	13	unknown	background
A0A087WUM9	3970	A0A087WUM9	1	unknown	background
A0A087WUV0	3	Q96IR2	176	unknown	background
A0A087WV53	3971	A0A087WV53	1	unknown	background
A0A087WV62	13	A0A0K0K1B3	52	unknown	background
A0A087WVF3	154	A0A087WVF3	11	unknown	background
A0A087WW49	6	P0DTE2	80	unknown	background
A0A087WW87	5	P01715	92	unknown	background
A0A087WWA1	3972	A0A087WWA1	1	unknown	background
A0A087WWS6	73	P01574	17	unknown	background
A0A087WXM9	3973	A0A087WXM9	1	unknown	background
A0A087WXS9	154	A0A087WVF3	11	unknown	background
A0A087WYE8	6	P0DTE2	80	unknown	background
A0A087WZ39	13	A0A0K0K1B3	52	unknown	background
A0A087X0K7	13	A0A0K0K1B3	52	unknown	background
A0A087X0M5	13	A0A0K0K1B3	52	unknown	background
A0A087X179	154	A0A087WVF3	11	unknown	background
A0A087X1C5	43	Q7Z449	22	unknown	background
A0A087X1G2	154	A0A087WVF3	11	unknown	background
A0A096LNP1	2692	P59861	2	unknown	background
A0A096LNW5	946	Q7Z3S9	4	unknown	background
A0A096LP01	3974	A0A096LP01	1	unknown	background
A0A096LP49	3975	A0A096LP49	1	unknown	background
A0A096LP55	2180	P07919	2	unknown	background
A0A096LPG2	3976	A0A096LPG2	1	unknown	background
A0A096LPI5	3977	A0A096LPI5	1	unknown	background
A0A096LPK9	1	Q8NGQ4	371	unknown	background
A0A0A0MRZ7	5	P01715	92	unknown	background
A0A0A0MRZ8	5	P01715	92	unknown	background
A0A0A0MRZ9	5	P01715	92	unknown	background
A0A0A0MS00	5	P01715	92	unknown	background
A0A0A0MS01	1061	A0A0A0MS01	3	unknown	background
A0A0A0MS02	433	A0A0C4DH27	6	unknown	background
A0A0A0MS03	13	A0A0K0K1B3	52	unknown	background
A0A0A0MS04	13	A0A0K0K1B3	52	unknown	background
A0A0A0MS05	13	A0A0K0K1B3	52	unknown	background
A0A0A0MS06	13	A0A0K0K1B3	52	unknown	background
A0A0A0MS14	6	P0DTE2	80	unknown	background
A0A0A0MS15	6	P0DTE2	80	unknown	background
A0A0A0MT36	5	P01715	92	unknown	background
A0A0A0MT70	3978	A0A0A0MT70	1	unknown	background
A0A0A0MT76	3979	A0A0A0MT76	1	unknown	background
A0A0A0MT82	3980	A0A0A0MT82	1	unknown	background
A0A0A0MT86	3981	A0A0A0MT86	1	unknown	background
A0A0A0MT87	3982	A0A0A0MT87	1	unknown	background
A0A0A0MT93	3983	A0A0A0MT93	1	unknown	background
A0A0A0MT94	3984	A0A0A0MT94	1	unknown	background
A0A0A0MT99	3985	A0A0A0MT99	1	unknown	background
A0A0A0MTA7	3986	A0A0A0MTA7	1	unknown	background
A0A0A6YYC5	15	A0A0A6YYK6	44	unknown	background
A0A0A6YYD4	13	A0A0K0K1B3	52	unknown	background
A0A0A6YYG2	13	A0A0K0K1B3	52	unknown	background
A0A0A6YYG3	13	A0A0K0K1B3	52	unknown	background
A0A0A6YYJ7	15	A0A0A6YYK6	44	unknown	background
A0A0A6YYK1	15	A0A0A6YYK6	44	unknown	background
A0A0A6YYK4	13	A0A0K0K1B3	52	unknown	background
A0A0A6YYK6	15	A0A0A6YYK6	44	unknown	background
A0A0A6YYK7	15	A0A0A6YYK6	44	unknown	background
A0A0A6YYL3	102	Q86YR6	15	unknown	background
A0A0B4J1T7	678	Q8TDM5	5	unknown	background
A0A0B4J1U3	5	P01715	92	unknown	background
A0A0B4J1U4	433	A0A0C4DH27	6	unknown	background
A0A0B4J1U6	13	A0A0K0K1B3	52	unknown	background
A0A0B4J1U7	6	P0DTE2	80	unknown	background
A0A0B4J1V0	6	P0DTE2	80	unknown	background
A0A0B4J1V1	6	P0DTE2	80	unknown	background
A0A0B4J1V2	6	P0DTE2	80	unknown	background
A0A0B4J1V6	6	P0DTE2	80	unknown	background
A0A0B4J1V7	6	P0DTE2	80	unknown	background
A0A0B4J1W7	1150	O75200	3	unknown	background
A0A0B4J1X5	6	P0DTE2	80	unknown	background
A0A0B4J1X8	6	P0DTE2	80	unknown	background
A0A0B4J1Y8	5	P01715	92	unknown	background
A0A0B4J1Y9	6	P0DTE2	80	unknown	background
A0A0B4J1Z2	5	P01715	92	unknown	background
A0A0B4J200	3987	A0A0B4J200	1	unknown	background
A0A0B4J234	715	A0A0B4J268	4	unknown	background
A0A0B4J235	15	A0A0A6YYK6	44	unknown	background
A0A0B4J237	15	A0A0A6YYK6	44	unknown	background
A0A0B4J238	15	A0A0A6YYK6	44	unknown	background
A0A0B4J240	15	A0A0A6YYK6	44	unknown	background
A0A0B4J241	15	A0A0A6YYK6	44	unknown	background
A0A0B4J244	15	A0A0A6YYK6	44	unknown	background
A0A0B4J245	15	A0A0A6YYK6	44	unknown	background
A0A0B4J248	15	A0A0A6YYK6	44	unknown	background
A0A0B4J249	15	A0A0A6YYK6	44	unknown	background
A0A0B4J262	15	A0A0A6YYK6	44	unknown	background
A0A0B4J263	15	A0A0A6YYK6	44	unknown	background
A0A0B4J264	15	A0A0A6YYK6	44	unknown	background
A0A0B4J265	715	A0A0B4J268	4	unknown	background
A0A0B4J266	15	A0A0A6YYK6	44	unknown	background
A0A0B4J268	715	A0A0B4J268	4	unknown	background
A0A0B4J271	15	A0A0A6YYK6	44	unknown	background
A0A0B4J272	15	A0A0A6YYK6	44	unknown	background
A0A0B4J273	15	A0A0A6YYK6	44	unknown	background
