uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
A0A087WU62	1	117	171	55	3.10.450.240	0.7273	0.0182	0.2545	92.9	82.75	1.0	0.8545
A0A087WU62	2	172	237	66	3.10.450.240	0.0152	0.1667	0.8182	84.96	58.19	0.8788	0.3788
A3KMH1	1	89	277	189	3.40.50.300	0.3862	0.2328	0.381	88.93	72.12	1.0	0.4656
A3KMH1	2	426	621	196	3.40.50.300	0.4133	0.2347	0.352	86.2	51.56	0.9643	0.2755
A3KMH1	3	760	938	179	3.40.50.300	0.3631	0.2682	0.3687	81.59	44.28	0.8603	0.2905
A3KMH1	4	1715	1903	189	3.40.50.410	0.4709	0.1852	0.3439	85.57	48.28	0.9735	0.2857
A4D1E9	1	12	147	136	2.70.210.12	0.0956	0.375	0.5294	91.5	41.69	0.9706	0.75
A4D1E9	2	148	355	208	3.40.50.300	0.3702	0.2067	0.4231	80.47	44.0	0.7692	0.2933
A6NC05	1	30	100	71	3.40.30.10	0.2817	0.1972	0.5211	50.35	37.97	0.0	0.0
A6NJ78	1	180	294	115	1.10.150.170	0.513	0.0522	0.4348	95.22	68.56	0.9913	0.8696
A6NJ78	2	72	404	333	3.40.50.150	0.4414	0.1441	0.4144	90.21	27.03	0.8979	0.8048
A6NK06	1	26	424	399	1.10.4100.10	0.5013	0.0977	0.401	98.07	68.0	0.9975	0.9825
A6NK06	2	274	407	134	3.30.1330.120	0.3881	0.1791	0.4328	97.25	68.0	0.9925	0.9552
A6NK58	1	5	221	217	3.30.930.10	0.3548	0.3226	0.3226	94.55	54.28	0.9631	0.8894
A8MUP2	1	32	240	209	3.40.50.150	0.3445	0.2871	0.3684	93.62	55.16	0.9713	0.866
A8MXV4	1	8	288	281	3.90.79.10	0.2705	0.2278	0.5018	88.31	35.44	0.8754	0.6726
B4DEF8	1	140	310	171	3.10.450.240	0.2515	0.4094	0.3392	93.66	55.62	0.9766	0.883
B4DJ38	1	189	271	83	1.25.40.10	0.7711	0.0	0.2289	90.59	83.5	1.0	0.6627
B4DJ38	2	272	436	165	1.25.40.10	0.6667	0.0	0.3333	75.21	23.56	0.7394	0.1515
B4DJ38	3	520	683	164	1.25.40.10	0.7134	0.0061	0.2805	84.35	64.31	0.9878	0.0
G3V325	1	189	271	83	1.25.40.10	0.7349	0.0	0.2651	89.37	81.38	1.0	0.4578
G3V325	2	272	436	165	1.25.40.10	0.6606	0.0	0.3394	73.31	22.7	0.7273	0.097
G3V325	3	497	686	190	1.25.40.10	0.6421	0.0105	0.3474	83.5	46.97	0.9211	0.0368
H0UI37	1	26	97	72	3.40.250.10	0.4028	0.0833	0.5139	94.06	67.38	0.9861	0.875
O00142	1	36	239	204	3.40.50.300	0.5049	0.1422	0.3529	92.79	37.06	0.9363	0.8627
O00154	1	56	205	150	3.10.129.10	0.2867	0.3867	0.3267	96.01	65.31	0.9933	0.9533
O00154	2	219	380	162	3.10.129.10	0.3086	0.3457	0.3457	92.62	35.97	0.9568	0.858
O00217	1	84	208	125	3.30.70.3270	0.288	0.208	0.504	95.23	86.44	1.0	0.952
O00330	1	55	148	94	2.40.50.100	0.0319	0.4043	0.5638	81.69	41.66	0.8404	0.117
O00330	2	263	499	237	3.30.559.10	0.3586	0.27	0.3713	90.21	53.81	0.9536	0.73
O00330	3	173	233	61	4.10.320.10	0.459	0.0656	0.4754	76.79	33.91	0.7377	0.3115
O00408	1	576	917	342	1.10.1300.10	0.7076	0.0	0.2924	93.42	53.78	0.9766	0.848
O00408	2	214	387	174	3.30.450.40	0.4713	0.2644	0.2644	87.37	30.14	0.9425	0.5575
O00408	3	388	562	175	3.30.450.40	0.4743	0.2457	0.28	86.24	44.5	0.92	0.4057
O00411	1	395	703	309	1.10.1320.10	0.5437	0.1424	0.3139	90.77	49.72	0.9482	0.7346
O00411	2	939	1125	187	1.10.150.20	0.5561	0.0749	0.369	88.91	50.72	0.8984	0.6791
O00411	3	831	908	78	1.10.287.280	0.6538	0.0256	0.3205	97.89	90.06	1.0	1.0
O00411	4	228	386	159	1.25.40.10	0.6415	0.0	0.3585	91.67	69.0	0.9874	0.7736
O00429	1	329	540	212	1.20.120.1240	0.7075	0.0	0.2925	80.96	31.95	0.7783	0.4104
O00429	2	592	710	119	1.20.120.1240	0.563	0.0	0.437	69.71	25.14	0.6218	0.3361
O00429	3	1	310	310	3.40.50.300	0.4129	0.1581	0.429	83.15	39.94	0.8613	0.3194
O00746	1	36	185	150	3.30.70.141	0.46	0.1733	0.3667	94.27	34.91	0.94	0.92
O00763	1	1836	1901	66	2.40.460.10	0.2576	0.4091	0.3333	86.76	68.75	0.9697	0.3182
O00763	2	892	963	72	2.40.50.100	0.0	0.5278	0.4722	85.24	66.12	0.9722	0.1944
O00763	3	433	495	63	3.30.1490.20	0.3968	0.2381	0.3651	83.03	60.78	0.9206	0.0159
O00763	4	496	760	265	3.30.470.20	0.2868	0.3245	0.3887	86.62	70.25	1.0	0.3208
O00763	5	226	384	159	3.40.50.20	0.4088	0.1195	0.4717	82.94	30.61	0.8805	0.3711
O00763	6	385	432	48	3.90.1770.10	0.3958	0.0417	0.5625	80.02	61.31	0.8125	0.0208
O00763	7	1695	2014	320	3.90.226.10	0.3844	0.2562	0.3594	88.66	63.78	0.9656	0.5312
O00763	8	2018	2426	409	3.90.226.10	0.4988	0.1565	0.3447	88.99	52.12	0.9804	0.5403
O14521	1	46	159	114	1.20.1300.10	0.7632	0.0	0.2368	94.62	57.91	0.9386	0.8772
O14548	1	57	114	58	4.10.91.10	0.6897	0.0	0.3103	93.69	67.25	0.9828	0.8966
O14561	1	66	156	91	1.10.1200.10	0.4725	0.0	0.5275	93.3	61.69	0.989	0.8571
O14832	1	31	338	308	2.60.120.620	0.2695	0.224	0.5065	90.16	34.12	0.9123	0.724
O14874	1	70	223	154	1.20.140.20	0.7338	0.0325	0.2338	93.69	66.5	0.9935	0.8247
O14874	2	224	412	189	3.30.565.10	0.3386	0.2116	0.4497	86.8	26.38	0.8413	0.7302
O14880	1	2	142	141	1.20.120.550	0.773	0.0	0.227	95.75	57.94	0.9858	0.9291
O14949	1	2	82	81	1.20.5.210	0.5926	0.0	0.4074	94.9	69.88	0.9877	0.8889
O14957	1	1	56	56	1.20.5.220	0.7143	0.0	0.2857	88.41	51.56	0.8929	0.5357
O15091	1	144	372	229	1.25.40.10	0.6594	0.0568	0.2838	94.73	84.19	1.0	0.8996
O15091	2	375	532	158	3.40.50.11980	0.4873	0.1329	0.3797	87.7	52.22	0.8924	0.6203
O15229	1	1	369	369	3.50.50.60	0.3469	0.2927	0.3604	93.49	32.62	0.9566	0.8889
O15235	1	31	138	108	2.40.50.140	0.0648	0.3333	0.6019	95.95	88.0	1.0	0.9815
O15270	1	184	435	252	3.40.640.10	0.4405	0.1667	0.3929	96.58	87.56	1.0	0.9762
O15270	2	169	527	359	3.90.1150.10	0.429	0.1783	0.3928	96.5	86.69	1.0	0.9694
O15382	1	205	377	173	3.20.10.10	0.2659	0.3353	0.3988	98.13	82.19	1.0	0.9884
O15382	2	28	204	177	3.30.470.10	0.2147	0.2825	0.5028	96.27	51.97	0.9774	0.9153
O15527	1	108	323	216	1.10.1670.10	0.6343	0.0417	0.3241	96.81	80.88	1.0	0.9583
O15527	2	136	261	126	1.10.340.30	0.6111	0.0714	0.3175	97.09	80.88	1.0	0.9603
O15527	3	10	100	91	3.30.310.40	0.2198	0.3187	0.4615	96.58	57.28	0.989	0.9341
O15528	1	30	508	479	1.10.630.10	0.5491	0.096	0.3549	90.29	35.31	0.9415	0.7328
O43169	1	16	107	92	3.10.120.10	0.3152	0.2174	0.4674	90.56	45.66	0.9022	0.8261
O43181	1	73	152	80	3.30.160.190	0.1875	0.275	0.5375	96.87	93.81	1.0	1.0
O43236	1	639	934	296	3.40.50.300	0.0	0.0	1.0				
O43272	1	88	269	182	3.20.20.220	0.5934	0.0604	0.3462	90.14	53.81	0.956	0.6484
O43272	2	319	586	268	3.20.20.220	0.5373	0.153	0.3097	89.09	35.22	0.8843	0.7724
O43464	1	360	456	97	2.30.42.10	0.2577	0.3711	0.3711	93.57	83.69	1.0	0.866
O43464	2	140	351	212	2.40.10.120	0.2217	0.3868	0.3915	88.98	33.97	0.9009	0.7028
O43488	1	37	359	323	3.20.20.100	0.4954	0.1455	0.3591	97.49	85.25	1.0	0.9814
O43572	1	93	181	89	1.10.167.10	0.5618	0.0	0.4382	75.07	27.55	0.6629	0.4494
O43572	2	190	372	183	1.10.167.10	0.3716	0.0	0.6284	61.93	25.7	0.4918	0.3169
O43572	3	373	509	137	1.10.167.10	0.708	0.0	0.292	91.09	78.0	1.0	0.6934
O43615	1	261	452	192	3.10.450.240	0.3906	0.3125	0.2969	81.41	31.33	0.7969	0.4635
O43678	1	1	99	99	3.40.30.10	0.3939	0.2121	0.3939	84.53	40.84	0.8283	0.6162
O43708	1	90	216	127	1.20.1050.10	0.7244	0.0157	0.2598	98.11	82.44	1.0	0.9921
O43708	2	8	85	78	3.40.30.10	0.4487	0.1923	0.359	97.79	86.94	1.0	0.9615
O43766	1	121	330	210	3.20.20.70	0.3667	0.181	0.4524	93.64	42.25	0.9667	0.8857
O43772	1	1	107	107	1.50.40.10	0.6822	0.0	0.3178	87.37	34.72	0.9252	0.6168
O43772	2	108	300	193	1.50.40.10	0.8187	0.0	0.1813	89.76	69.12	0.9896	0.6321
O43819	1	97	266	170	3.40.30.10	0.3412	0.2471	0.4118	93.73	66.81	0.9941	0.8235
O43824	1	111	236	126	3.40.50.11060	0.5714	0.1429	0.2857	87.69	53.94	0.9127	0.5794
O43824	2	294	460	167	3.40.50.300	0.3772	0.2216	0.4012	89.57	74.06	1.0	0.515
O43837	1	36	384	349	3.40.718.10	0.4126	0.1891	0.3983	93.15	30.64	0.9484	0.8625
O43847	1	87	410	324	3.30.830.10	0.3519	0.1235	0.5247	76.58	23.08	0.7253	0.5833
O43847	2	424	658	235	3.30.830.10	0.4128	0.1915	0.3957	94.23	74.44	1.0	0.8936
O43847	3	675	893	219	3.30.830.10	0.4977	0.2329	0.2694	94.51	80.38	1.0	0.895
