uniprot_accession	protein_length	n_domains	is_single_domain	pre_domain_start	pre_domain_end	pre_domain_length	n_domain_start	n_domain_end	n_domain_length	c_region_start	c_region_end	c_region_length	source_dataset
A0A087WU62	256	2	False	1	116	116	117	171	55	172	256	85	hsp60
A3KMH1	1905	4	False	1	88	88	89	277	189	278	1905	1628	matrix,mito
A4D1E9	387	2	False	1	11	11	12	147	136	148	387	240	matrix,mito
A6NC05	138	1	True	1	29	29	30	100	71	101	138	38	matrix,mito
A6NJ78	407	2	False	1	71	71	72	404	333	405	407	3	matrix,mito
A6NK06	481	2	False	1	25	25	26	424	399	425	481	57	matrix,mito
A6NK58	231	1	True	1	4	4	5	221	217	222	231	10	matrix,mito
A8MUP2	240	1	True	1	31	31	32	240	209	0	0	0	matrix,mito
A8MXV4	375	1	True	1	7	7	8	288	281	289	375	87	hsp60,matrix,mito
B4DEF8	329	1	True	1	139	139	140	310	171	311	329	19	matrix,mito
B4DJ38	749	3	False	1	188	188	189	271	83	272	749	478	mito
G3V325	749	3	False	1	188	188	189	271	83	272	749	478	hsp60
H0UI37	97	1	True	1	25	25	26	97	72	0	0	0	mito
O00142	265	1	True	1	35	35	36	239	204	240	265	26	matrix,mito
O00154	380	2	False	1	55	55	56	205	150	206	380	175	matrix,mito
O00217	210	1	True	1	83	83	84	208	125	209	210	2	mito
O00330	501	3	False	1	54	54	55	148	94	149	501	353	hsp60,matrix,mito
O00408	941	3	False	1	213	213	214	387	174	388	941	554	mito
O00411	1230	4	False	1	227	227	228	386	159	387	1230	844	hsp60,matrix,mito
O00429	736	3	False	0	0	0	1	310	310	311	736	426	mito
O00746	187	1	True	1	35	35	36	185	150	186	187	2	hsp60,mito
O00763	2458	8	False	1	225	225	226	384	159	385	2458	2074	mito
O14521	159	1	True	1	45	45	46	159	114	0	0	0	mito
O14548	114	1	True	1	56	56	57	114	58	0	0	0	hsp60,mito
O14561	156	1	True	1	65	65	66	156	91	0	0	0	mito
O14832	338	1	True	1	30	30	31	338	308	0	0	0	matrix,mito
O14874	412	2	False	1	69	69	70	223	154	224	412	189	hsp60,matrix,mito
O14880	152	1	True	1	1	1	2	142	141	143	152	10	mito
O14949	82	1	True	1	1	1	2	82	81	0	0	0	mito
O14957	56	1	True	0	0	0	1	56	56	0	0	0	mito
O15091	583	2	False	1	143	143	144	372	229	373	583	211	hsp60,matrix,mito
O15229	486	1	True	0	0	0	1	369	369	370	486	117	mito
O15235	138	1	True	1	30	30	31	138	108	0	0	0	hsp60,matrix,mito
O15270	562	2	False	1	168	168	169	527	359	528	562	35	mito
O15382	392	2	False	1	27	27	28	204	177	205	392	188	hsp60,matrix,mito
O15527	345	3	False	1	9	9	10	100	91	101	345	245	matrix,mito
O15528	508	1	True	1	29	29	30	508	479	0	0	0	mito
O43169	150	1	True	1	15	15	16	107	92	108	150	43	mito
O43181	175	1	True	1	72	72	73	152	80	153	175	23	hsp60,mito
O43236	996	1	True	1	638	638	639	934	296	935	996	62	mito
O43272	600	2	False	1	87	87	88	269	182	270	600	331	mito
O43464	458	2	False	1	139	139	140	351	212	352	458	107	mito
O43488	359	1	True	1	36	36	37	359	323	0	0	0	hsp60,matrix,mito
O43572	662	3	False	1	92	92	93	181	89	182	662	481	mito
O43615	452	1	True	1	260	260	261	452	192	0	0	0	hsp60,mito
O43678	99	1	True	0	0	0	1	99	99	0	0	0	hsp60,mito
O43708	216	2	False	1	7	7	8	85	78	86	216	131	matrix,mito
O43766	372	1	True	1	120	120	121	330	210	331	372	42	matrix,mito
O43772	301	2	False	0	0	0	1	107	107	108	301	194	mito
O43819	266	1	True	1	96	96	97	266	170	0	0	0	mito
O43824	516	2	False	1	110	110	111	236	126	237	516	280	matrix,mito
O43837	385	1	True	1	35	35	36	384	349	385	385	1	matrix,mito
O43847	1151	4	False	1	86	86	87	410	324	411	1151	741	matrix,mito
O43865	530	4	False	1	90	90	91	240	150	241	530	290	mito
O60218	316	1	True	0	0	0	1	316	316	0	0	0	mito
O60220	97	1	True	1	22	22	23	85	63	86	97	12	mito
O60238	219	1	True	1	182	182	183	214	32	215	219	5	mito
O60260	465	3	False	0	0	0	1	76	76	77	465	389	mito
O60313	960	1	True	1	257	257	258	605	348	606	960	355	mito
O60783	128	1	True	1	27	27	28	118	91	119	128	10	matrix,mito
O60930	286	2	False	1	25	25	26	76	51	77	286	210	matrix,mito
