accession	ft_transit	ft_signal	cc_subcellular_location
O75746			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11566871, ECO:0000269|PubMed:19641205, ECO:0000269|PubMed:24515575, ECO:0000269|PubMed:9722566}; Multi-pass membrane protein {ECO:0000269|PubMed:11566871}.
O75828			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18493841}.
O75879	"TRANSIT 1..41; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03147, ECO:0000269|PubMed:9878253}.
O75880	"TRANSIT 1..67; /note=""Mitochondrion""; /evidence=""ECO:0000255, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:15229189, ECO:0000305|PubMed:9878253}; Single-pass membrane protein {ECO:0000255}.
O75891			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:19933275}.
O75947			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.
O75964			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.
O76031	"TRANSIT 1..56; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11003706}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:22841477}.
O94761			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15317757}. Nucleus {ECO:0000269|PubMed:10552928}.
O94826			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:20628368, ECO:0000269|PubMed:25609812, ECO:0000269|PubMed:33723040}; Single-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: Note=(Microbial infection) During parasite T.gondii-mediated infection, enriched at the interface between the host mitochondria and the parasitopharous vacuole. {ECO:0000269|PubMed:33723040}.
O94925	"TRANSIT 1..54; /note=""Mitochondrion""; /evidence=""ECO:0000305"""		SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000250|UniProtKB:P13264}. Cytoplasm, cytosol {ECO:0000269|PubMed:22228304}. Note=The 74-kDa cytosolic precursor is translocated into the mitochondria and processed via a 72-kDa intermediate to yield the mature 68- and 65-kDa subunits. {ECO:0000250|UniProtKB:P13264}.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion {ECO:0000269|PubMed:22228304}.; SUBCELLULAR LOCATION: [Glutaminase kidney isoform, mitochondrial 68 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}.; SUBCELLULAR LOCATION: [Glutaminase kidney isoform, mitochondrial 65 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}.
O95139			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.
O95140			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:11181170, ECO:0000269|PubMed:11950885, ECO:0000269|PubMed:12499352, ECO:0000269|PubMed:23620051, ECO:0000269|PubMed:26214738}; Multi-pass membrane protein {ECO:0000269|PubMed:11181170, ECO:0000269|PubMed:11950885, ECO:0000269|PubMed:12499352, ECO:0000269|PubMed:23620051}. Note=Colocalizes with BAX during apoptosis. {ECO:0000269|PubMed:12499352}.
O95167			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}.
O95168			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.
O95169	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.
O95182			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
O95202	"TRANSIT 1..115; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14706454, ECO:0000269|PubMed:15138253, ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:19797662, ECO:0000269|PubMed:32139798}; Single-pass membrane protein {ECO:0000255}.
O95258			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:20600837}; Multi-pass membrane protein {ECO:0000255}.
O95298			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.
O95299	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P34942"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:12611891}.
O95363	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q6AYQ3}. Mitochondrion {ECO:0000250|UniProtKB:Q6AYQ3}.
