accession	status	total_energy	backbone_hbond	sidechain_hbond	vdw_clashes	electrostatics	solvation_polar	solvation_hydrophobic	entropy_mainchain	entropy_sidechain	error
A0A024R1R8	success	38.09									
A0A024RBG1	success	26.92									
A0A024RCN7	success	24.59									
A0A075B6H5	success	22.07									
A0A075B6H7	success	10.94									
A0A075B6H8	success	3.91									
A0A075B6H9	success	21.05									
A0A075B6I0	success	23.57									
A0A075B6I1	success	24.59									
A0A075B6I3	success	6.74									
A0A075B6I4	success	36.35									
A0A075B6I6	success	33.32									
A0A075B6I7	success	30.61									
A0A075B6I9	success	20.03									
A0A075B6J1	success	6.52									
A0A075B6J2	success	55.02									
A0A075B6J6	success	26.42									
A0A075B6J9	success	42.51									
A0A075B6K0	success	27.93									
A0A075B6K2	success	27.28									
A0A075B6K4	success	25.83									
A0A075B6K5	success	20.36									
A0A075B6K6	success	22.18									
A0A075B6L2	success	40.67									
A0A075B6L6	success	34.76									
A0A075B6N1	success	27.52									
A0A075B6N2	success	25.53									
A0A075B6N3	success	28.33									
A0A075B6N4	success	34.3									
A0A075B6P5	success	13.21									
A0A075B6Q5	success	8.05									
A0A075B6R0	success	26.81									
A0A075B6R2	success	4.5									
A0A075B6R9	success	42.42									
A0A075B6S0	success	12.29									
A0A075B6S2	success	16.61									
A0A075B6S4	success	21.0									
A0A075B6S5	success	21.28									
A0A075B6S6	success	17.45									
A0A075B6S9	success	22.22									
A0A075B6T6	success	-3.92									
A0A075B6T7	success	17.75									
A0A075B6T8	success	25.92									
A0A075B6U4	success	27.78									
A0A075B6U6	success	15.76									
A0A075B6V2	success	10.77									
A0A075B6V5	success	8.23									
A0A075B6W5	success	-1.48									
A0A075B6X5	success	18.86									
A0A075B6Y3	success	14.82									
A0A075B6Y9	success	17.14									
A0A075B700	success	9.95									
A0A075B706	success	8.72									
A0A075B734	success	44.75									
A0A075B759	success	7.23									
A0A075B767	success	2.57									
A0A075B7B6	success	6.42									
A0A075B7B8	success	29.46									
A0A075B7D0	success	23.53									
A0A075B7D4	success	16.6									
A0A075B7D8	success	12.34									
A0A075B7E8	success	10.63									
A0A075B7F0	success	8.11									
A0A075B7F1	success	9.55									
A0A087WSX0	success	17.37									
A0A087WSY4	success	6.17									
A0A087WSY6	success	26.36									
A0A087WSZ0	success	17.44									
A0A087WSZ9	success	6.79									
A0A087WT01	success	14.81									
A0A087WT02	success	11.53									
A0A087WT03	success	24.83									
A0A087WTH1	success	17.6									
A0A087WUL8	success	2539.21									RepairPDB_failed_using_unrepaired
A0A087WUM9	success	87.48									
A0A087WUV0	success	501.76									RepairPDB_failed_using_unrepaired
A0A087WV53	success	-4.41									
A0A087WV62	success	21.56									
A0A087WVF3	success	437.22									RepairPDB_failed_using_unrepaired
A0A087WW49	success	-0.5									
A0A087WW87	success	17.24									
A0A087WWA1	success	119.45									
A0A087WWS6	success	-23.51									
A0A087WXM9	success	512.26									
A0A087WXS9	success	422.04									RepairPDB_failed_using_unrepaired
A0A087WYE8	success	26.89									
A0A087WZ39	success	20.1									
A0A087X0K7	success	9.54									
A0A087X0M5	success	2.73									
A0A087X179	success	453.88									RepairPDB_failed_using_unrepaired
A0A087X1C5	success	93.76									RepairPDB_failed_using_unrepaired
A0A087X1G2	success	415.1									RepairPDB_failed_using_unrepaired
A0A096LNP1	success	52.75									
A0A096LNW5	success	102.17									
A0A096LP01	success	49.93									
A0A096LP49	success	2123.0									RepairPDB_failed_using_unrepaired
A0A096LP55	success	23.41									
A0A096LPG2	success	12.51									
A0A096LPI5	success	144.39									
A0A096LPK9	success	-90.72									
A0A0A0MRZ7	success	43.79									
A0A0A0MRZ8	success	27.21									
A0A0A0MRZ9	success	16.23									
A0A0A0MS00	success	26.7									
A0A0A0MS01	success	35.93									
A0A0A0MS02	success	29.96									
A0A0A0MS03	success	28.34									
A0A0A0MS04	success	25.63									
A0A0A0MS05	success	40.02									
A0A0A0MS06	success	24.03									
A0A0A0MS14	success	16.17									
A0A0A0MS15	success	9.97									
A0A0A0MT36	success	29.46									
A0A0A0MT70	success	7.42									
A0A0A0MT76	success	30.3									
A0A0A0MT82	success	66.04									
A0A0A0MT86	success	22.81									
A0A0A0MT87	success	6.33									
A0A0A0MT93	success	16.55									
A0A0A0MT94	success	8.94									
A0A0A0MT99	success	55.21									
A0A0A0MTA7	success	6.13									
A0A0A6YYC5	success	19.48									
A0A0A6YYD4	success	24.75									
A0A0A6YYG2	success	17.92									
A0A0A6YYG3	success	29.07									
A0A0A6YYJ7	success	24.0									
A0A0A6YYK1	success	8.01									
A0A0A6YYK4	success	42.81									
A0A0A6YYK6	success	9.26									
A0A0A6YYK7	success	9.57									
A0A0A6YYL3	success	401.44									RepairPDB_failed_using_unrepaired
A0A0B4J1T7	success	51.92									
A0A0B4J1U3	success	31.57									
A0A0B4J1U4	success	23.65									
A0A0B4J1U6	success	22.7									
A0A0B4J1U7	success	5.46									
A0A0B4J1V0	success	8.82									
A0A0B4J1V1	success	7.19									
A0A0B4J1V2	success	6.01									
A0A0B4J1V6	success	19.39									
A0A0B4J1V7	success	26.45									
A0A0B4J1W7	success	467.3									RepairPDB_failed_using_unrepaired
A0A0B4J1X5	success	3.99									
A0A0B4J1X8	success	4.25									
A0A0B4J1Y8	success	15.04									
A0A0B4J1Y9	success	13.23									
A0A0B4J1Z2	success	21.47									
A0A0B4J200	success	6.25									
A0A0B4J234	success	12.81									
A0A0B4J235	success	11.88									
A0A0B4J237	success	11.42									
A0A0B4J238	success	15.99									
A0A0B4J240	success	3.83									
A0A0B4J241	success	28.18									
A0A0B4J244	success	12.12									
A0A0B4J245	success	-4.84									
A0A0B4J248	success	23.79									
A0A0B4J249	success	28.93									
A0A0B4J262	success	20.91									
A0A0B4J263	success	-0.93									
A0A0B4J264	success	11.54									
A0A0B4J265	success	23.39									
A0A0B4J266	success	-0.39									
A0A0B4J268	success	22.84									
A0A0B4J271	success	0.07									
A0A0B4J272	success	17.76									
A0A0B4J273	success	12.61									
A0A0B4J274	success	-5.99									
A0A0B4J275	success	12.89									
A0A0B4J276	success	13.77									
A0A0B4J277	success	-3.06									
A0A0B4J279	success	0.59									
A0A0B4J280	success	35.45									
A0A0B4J2A2	success	-6.06									
A0A0B4J2B5	success	-6.51									
A0A0B4J2B6	success	17.28									
A0A0B4J2B8	success	25.7									
A0A0B4J2D9	success	16.55									
A0A0B4J2E0	success	28.49									
A0A0B4J2F0	success	-2.33									
A0A0B4J2H0	success	19.72									
A0A0C4DGP1	success	-1.74									
A0A0C4DH24	success	29.91									
A0A0C4DH25	success	27.3									
A0A0C4DH26	success	13.67									
A0A0C4DH27	success	17.75									
A0A0C4DH28	success	34.31									
A0A0C4DH29	success	19.66									
A0A0C4DH30	success	11.96									
A0A0C4DH31	success	18.99									
A0A0C4DH32	success	22.97									
A0A0C4DH33	success	10.18									
A0A0C4DH34	success	1.72									
A0A0C4DH35	success	8.95									
A0A0C4DH36	success	10.54									
A0A0C4DH38	success	8.26									
A0A0C4DH39	success	20.88									
A0A0C4DH41	success	1.36									
A0A0C4DH42	success	4.32									
A0A0C4DH43	success	8.49									
A0A0C4DH55	success	25.48									
A0A0C4DH59	success	18.89									
A0A0C4DH62	success	11.93									
A0A0C4DH63	success	9.28									
A0A0C4DH67	success	16.34									
A0A0C4DH68	success	13.52									
A0A0C4DH69	success	13.57									
A0A0C4DH72	success	19.71									
A0A0C4DH73	success	23.87									
A0A0C4DH90	success	18.3									
A0A0C5B5G6	success	16.72									
A0A0D9SF12	success	87.78									
A0A0G2JKW9	success	29.95									
A0A0G2JLG4	success	171.19									RepairPDB_failed_using_unrepaired
A0A0G2JLW4	success	82.33									
A0A0G2JMD5	success	170.86									RepairPDB_failed_using_unrepaired
A0A0G2JMH3	success	196.99									
A0A0G2JMI3	success	15.43									
A0A0G2JMM0	success	25.42									
A0A0G2JN01	success	18.07									
A0A0G2JN53	success	254.33									
A0A0G2JN68	success	188.71									
A0A0G2JND7	success	40.15									
A0A0G2JNF4	success	112.42									
A0A0G2JNH3	success	-83.28									
A0A0G2JNJ9	success	78.9									
A0A0G2JPN4	success	31.74									
A0A0G2JQF1	success	7.69									
A0A0G2JQZ4	success	153.52									
A0A0G2JRQ6	success	16.94									
A0A0G2JS06	success	17.41									
A0A0J9YVY3	success	23.31									
A0A0J9YW62	success	26.76									
A0A0J9YWL9	success	1097.93									RepairPDB_failed_using_unrepaired
A0A0J9YWP8	success	9.87									
A0A0J9YWU9	success	4.88									
A0A0J9YWX3	success	10.0									
A0A0J9YX35	success	3.26									
A0A0J9YX57	success	431.55									RepairPDB_failed_using_unrepaired
A0A0J9YX75	success	15.6									
A0A0J9YX94	success	468.85									RepairPDB_failed_using_unrepaired
A0A0J9YXG5	success	9.71									
A0A0J9YXM7	success	10.34									
A0A0J9YXQ4	success	530.62									
A0A0J9YXV3	success	1062.89									
A0A0J9YXX1	success	6.53									
A0A0J9YXY3	success	28.36									
A0A0J9YY54	success	1017.24									RepairPDB_failed_using_unrepaired
A0A0J9YY99	success	1.52									
A0A0K0K1A3	success	25.13									
A0A0K0K1A5	success	20.01									
A0A0K0K1B3	success	6.89									
A0A0K0K1C0	success	14.21									
A0A0K0K1C4	success	10.34									
A0A0K0K1D8	success	22.06									
A0A0K0K1E9	success	24.57									
A0A0K0K1G6	success	24.25									
A0A0K0K1G8	success	19.89									
A0A0K2S4Q6	success	91.08									
A0A0M3HER8	success	481.24									RepairPDB_failed_using_unrepaired
A0A0U1RQE8	success	-31.58									
A0A0U1RQF7	success	126.84									
A0A0U1RQG5	success	528.43									
A0A0U1RQI7	success	1164.02									RepairPDB_failed_using_unrepaired
A0A0U1RQS6	success	200.52									
A0A0U1RR11	success	144.13									
A0A0U1RR37	success	178.64									
A0A0U1RRA0	success	29.6									
A0A0U1RRE5	success	63.87									
A0A0U1RRI6	success	108.69									
A0A0U1RRK4	success	120.53									
A0A0U1RRL7	success	55.54									
A0A0U1RRN3	success	18.43									
A0A0X1KG70	success	-85.55									
A0A140TA62	success	283.79									RepairPDB_failed_using_unrepaired
A0A140TA64	success	403.97									
A0A140TA67	success	244.1									
A0A183	success	105.17									
A0A191URJ7	success	131.02									
A0A1B0GTB2	success	10.81									
A0A1B0GTC6	success	34.85									
A0A1B0GTD5	success	67.79									
A0A1B0GTH6	success	1253.58									RepairPDB_failed_using_unrepaired
