uniprot_accession	model_path	model_version	file_size_bytes	has_structure	source_dataset	residues_modeled	mean_plddt	min_plddt	fraction_plddt_gt70
A0A087WU62	data/raw/alphafold/pilot/AF-A0A087WU62-F1-model_v6.cif	v6	257280	True	hsp60	256	76.3	30.88	0.6953
A0A0B4J2F0	data/raw/alphafold/pilot/AF-A0A0B4J2F0-F1-model_v6.cif	v6	64154	True	mito	54	86.03	57.75	0.9074
A1L188	data/raw/alphafold/pilot/AF-A1L188-F1-model_v6.cif	v6	73379	True	mito	74	90.86	38.22	0.9054
A3KMH1	data/raw/alphafold/pilot/AF-A3KMH1-F1-model_v6.cif	v6	1813139	True	matrix,mito	1905	78.97	20.0	0.8315
A4D1E9	data/raw/alphafold/pilot/AF-A4D1E9-F1-model_v6.cif	v6	359535	True	matrix,mito	387	80.36	27.94	0.7623
A6NC05	data/raw/alphafold/pilot/AF-A6NC05-F1-model_v6.cif	v6	139684	True	matrix,mito	138	45.24	25.94	0.0
A6NFY7	data/raw/alphafold/pilot/AF-A6NFY7-F1-model_v6.cif	v6	116030	True	matrix,mito	115	75.65	39.84	0.5739
A6NJ78	data/raw/alphafold/pilot/AF-A6NJ78-F1-model_v6.cif	v6	383894	True	matrix,mito	407	80.71	19.27	0.742
A6NK06	data/raw/alphafold/pilot/AF-A6NK06-F1-model_v6.cif	v6	439239	True	matrix,mito	481	95.21	27.83	0.9501
A6NK58	data/raw/alphafold/pilot/AF-A6NK58-F1-model_v6.cif	v6	217044	True	matrix,mito	231	93.05	33.91	0.9394
A6NNL5	data/raw/alphafold/pilot/AF-A6NNL5-F1-model_v6.cif	v6	160437	True	matrix,mito	157	91.46	42.25	0.9363
A8MSI8	data/raw/alphafold/pilot/AF-A8MSI8-F1-model_v6.cif	v6	86142	True	mito	78	91.24	50.22	0.9103
A8MUP2	data/raw/alphafold/pilot/AF-A8MUP2-F1-model_v6.cif	v6	223042	True	matrix,mito	240	87.65	24.14	0.8792
A8MXV4	data/raw/alphafold/pilot/AF-A8MXV4-F1-model_v6.cif	v6	356936	True	hsp60,matrix,mito	375	87.8	31.34	0.8747
B4DEF8	data/raw/alphafold/pilot/AF-B4DEF8-F1-model_v6.cif	v6	315033	True	matrix,mito	329	76.77	25.09	0.693
B4DJ38	data/raw/alphafold/pilot/AF-B4DJ38-F1-model_v6.cif	v6	685857	True	mito	749	62.91	20.19	0.5434
G3V325	data/raw/alphafold/pilot/AF-G3V325-F1-model_v6.cif	v6	685576	True	hsp60	749	62.31	19.28	0.5461
H0UI37	data/raw/alphafold/pilot/AF-H0UI37-F1-model_v6.cif	v6	100898	True	mito	97	83.67	42.31	0.732
O00142	data/raw/alphafold/pilot/AF-O00142-F1-model_v6.cif	v6	262266	True	matrix,mito	265	84.72	30.44	0.7925
O00154	data/raw/alphafold/pilot/AF-O00154-F1-model_v6.cif	v6	348576	True	matrix,mito	380	84.7	20.66	0.8158
O00217	data/raw/alphafold/pilot/AF-O00217-F1-model_v6.cif	v6	203936	True	mito	210	88.03	39.12	0.8429
O00330	data/raw/alphafold/pilot/AF-O00330-F1-model_v6.cif	v6	450263	True	hsp60,matrix,mito	501	77.29	30.86	0.7006
O00408	data/raw/alphafold/pilot/AF-O00408-F1-model_v6.cif	v6	857290	True	mito	941	83.67	25.81	0.8587
O00411	data/raw/alphafold/pilot/AF-O00411-F1-model_v6.cif	v6	1158425	True	hsp60,matrix,mito	1230	83.42	20.88	0.8016
O00429	data/raw/alphafold/pilot/AF-O00429-F1-model_v6.cif	v6	673102	True	mito	736	76.46	24.97	0.7337
O00483	data/raw/alphafold/pilot/AF-O00483-F1-model_v6.cif	v6	86833	True	hsp60,mito	81	92.18	71.31	1.0
O00746	data/raw/alphafold/pilot/AF-O00746-F1-model_v6.cif	v6	181298	True	hsp60,mito	187	85.01	34.59	0.754
O00763	data/raw/alphafold/pilot/AF-O00763-F1-model_v6.cif	v6	2342510	True	mito	2458	78.85	22.64	0.8153
O14521	data/raw/alphafold/pilot/AF-O14521-F1-model_v6.cif	v6	150831	True	mito	159	81.7	38.59	0.673
O14548	data/raw/alphafold/pilot/AF-O14548-F1-model_v6.cif	v6	114969	True	hsp60,mito	114	79.6	43.03	0.6754
O14561	data/raw/alphafold/pilot/AF-O14561-F1-model_v6.cif	v6	153212	True	mito	156	77.74	39.44	0.5833
O14832	data/raw/alphafold/pilot/AF-O14832-F1-model_v6.cif	v6	324490	True	matrix,mito	338	85.45	28.77	0.8314
O14874	data/raw/alphafold/pilot/AF-O14874-F1-model_v6.cif	v6	385792	True	hsp60,matrix,mito	412	83.21	21.53	0.7913
