accession	source	n_domains	top_superfamily	cath_class	datasets
A0A087WU62	CATH	2	3.10.450.240|3.10.450.240		hsp60
A0A0B4J2F0	CATH	0			mito_bg
A1L188	CATH	0			mito_bg
A3KMH1	CATH	4	3.40.50.300|3.40.50.300|3.40.50.300|3.40.50.410		matrix_bg,mito_bg
A4D1E9	CATH	2	2.70.210.12|3.40.50.300		matrix_bg,mito_bg
A6NC05	CATH	1	3.40.30.10		matrix_bg,mito_bg
A6NFY7	CATH	0			matrix_bg,mito_bg
A6NJ78	CATH	2	3.40.50.150|1.10.150.170		matrix_bg,mito_bg
A6NK06	CATH	2	1.10.4100.10|3.30.1330.120		matrix_bg,mito_bg
A6NK58	CATH	1	3.30.930.10		matrix_bg,mito_bg
A6NNL5	CATH	0			matrix_bg,mito_bg
A8MSI8	CATH	0			mito_bg
A8MUP2	CATH	1	3.40.50.150		matrix_bg,mito_bg
A8MXV4	CATH	1	3.90.79.10		hsp60,matrix_bg,mito_bg
B4DEF8	CATH	1	3.10.450.240		matrix_bg,mito_bg
B4DJ38	CATH	3	1.25.40.10|1.25.40.10|1.25.40.10		mito_bg
G3V325	CATH	3	1.25.40.10|1.25.40.10|1.25.40.10		hsp60
H0UI37	CATH	1	3.40.250.10		mito_bg
O00142	CATH	1	3.40.50.300		matrix_bg,mito_bg
O00154	CATH	2	3.10.129.10|3.10.129.10		matrix_bg,mito_bg
O00217	CATH	1	3.30.70.3270		mito_bg
O00330	CATH	3	2.40.50.100|4.10.320.10|3.30.559.10		hsp60,matrix_bg,mito_bg
O00408	CATH	3	3.30.450.40|3.30.450.40|1.10.1300.10		mito_bg
O00411	CATH	4	1.25.40.10|1.10.1320.10|1.10.287.280|1.10.150.20		hsp60,matrix_bg,mito_bg
O00429	CATH	3	3.40.50.300|1.20.120.1240|1.20.120.1240		mito_bg
O00483	CATH	0			hsp60,mito_bg
O00746	CATH	1	3.30.70.141		hsp60,mito_bg
O00763	CATH	8	3.40.50.20|3.90.1770.10|3.30.1490.20|3.30.470.20|2.40.50.100|3.90.226.10|2.40.460.10|3.90.226.10		mito_bg
O14521	CATH	1	1.20.1300.10		mito_bg
O14548	CATH	1	4.10.91.10		hsp60,mito_bg
O14561	CATH	1	1.10.1200.10		mito_bg
O14832	CATH	1	2.60.120.620		matrix_bg,mito_bg
O14874	CATH	2	1.20.140.20|3.30.565.10		hsp60,matrix_bg,mito_bg
O14880	CATH	1	1.20.120.550		mito_bg
O14925	CATH	0			mito_bg
O14949	CATH	1	1.20.5.210		mito_bg
O14957	CATH	1	1.20.5.220		mito_bg
O15091	CATH	2	1.25.40.10|3.40.50.11980		hsp60,matrix_bg,mito_bg
