accession	source	n_domains	first_domain_start	first_domain_end
A0A087WU62	CATH	2	117	171
A3KMH1	CATH	4	89	277
A4D1E9	CATH	2	12	147
A6NC05	CATH	1	30	100
A6NJ78	CATH	2	72	404
A6NK06	CATH	2	26	424
A6NK58	CATH	1	5	221
A8MUP2	CATH	1	32	240
A8MXV4	CATH	1	8	288
B4DEF8	CATH	1	140	310
B4DJ38	CATH	3	189	271
G3V325	CATH	3	189	271
H0UI37	CATH	1	26	97
O00142	CATH	1	36	239
O00154	CATH	2	56	205
O00217	CATH	1	84	208
O00330	CATH	3	55	148
O00408	CATH	3	214	387
O00411	CATH	4	228	386
O00429	CATH	3	1	310
O00746	CATH	1	36	185
O00763	CATH	8	226	384
O14521	CATH	1	46	159
O14548	CATH	1	57	114
O14561	CATH	1	66	156
O14832	CATH	1	31	338
O14874	CATH	2	70	223
O14880	CATH	1	2	142
O14949	CATH	1	2	82
O14957	CATH	1	1	56
O15091	CATH	2	144	372
O15229	CATH	1	1	369
O15235	CATH	1	31	138
O15270	CATH	2	169	527
O15382	CATH	2	28	204
O15527	CATH	3	10	100
O15528	CATH	1	30	508
O43169	CATH	1	16	107
O43181	CATH	1	73	152
O43236	CATH	1	639	934
O43272	CATH	2	88	269
O43464	CATH	2	140	351
O43488	CATH	1	37	359
O43572	CATH	3	93	181
O43615	CATH	1	261	452
O43678	CATH	1	1	99
O43708	CATH	2	8	85
O43766	CATH	1	121	330
O43772	CATH	2	1	107
O43819	CATH	1	97	266
O43824	CATH	2	111	236
O43837	CATH	1	36	384
O43847	CATH	4	87	410
O43865	CATH	4	91	240
O60218	CATH	1	1	316
O60220	CATH	1	23	85
O60238	CATH	1	183	214
O60260	CATH	3	1	76
O60313	CATH	1	258	605
O60783	CATH	1	28	118
O60930	CATH	2	26	76
O75027	CATH	2	109	457
O75127	CATH	3	143	224
O75208	CATH	1	94	282
O75251	CATH	1	58	213
O75306	CATH	1	79	463
O75323	CATH	2	65	182
O75380	CATH	1	71	121
O75390	CATH	2	37	450
O75394	CATH	1	1	65
O75414	CATH	1	11	162
O75417	CATH	7	75	289
O75431	CATH	1	101	251
O75439	CATH	2	39	265
O75489	CATH	1	36	186
O75521	CATH	3	34	126
O75570	CATH	4	63	179
O75600	CATH	2	67	412
O75608	CATH	1	1	230
O75616	CATH	2	108	338
O75648	CATH	3	1	234
O75746	CATH	3	8	127
O75828	CATH	1	5	277
O75879	CATH	1	495	556
O75880	CATH	1	135	301
O75891	CATH	5	1	205
O75947	CATH	1	2	124
O76031	CATH	2	159	507
O94761	CATH	3	1	54
O94826	CATH	2	105	217
O94903	CATH	1	10	260
O94925	CATH	3	136	216
O95140	CATH	2	99	320
O95202	CATH	1	535	734
O95258	CATH	1	42	324
O95299	CATH	1	57	277
O95363	CATH	2	46	353
O95571	CATH	1	19	249
O95721	CATH	2	39	116
O95822	CATH	2	33	191
O95831	CATH	3	135	471
O95847	CATH	1	20	319
O95900	CATH	1	4	301
O96008	CATH	1	70	360
P00156	CATH	1	1	379
P00350	CATH	3	1	180
P00363	CATH	4	7	409
P00367	CATH	3	54	113
P00387	CATH	2	30	145
P00390	CATH	3	65	390
P00393	CATH	1	5	413
P00395	CATH	1	1	513
P00403	CATH	2	1	91
P00414	CATH	2	1	70
P00441	CATH	1	2	154
P00480	CATH	2	40	338
P00490	CATH	2	60	794
P00505	CATH	2	42	425
P00846	CATH	1	62	226
P00944	CATH	1	3	440
P02794	CATH	1	1	183
P02925	CATH	2	31	281
P02931	CATH	1	23	362
P03813	CATH	2	2	222
P03897	CATH	1	1	115
P03901	CATH	1	1	98
P04040	CATH	1	24	502
P04179	CATH	2	43	106
P04181	CATH	2	47	427
P05020	CATH	1	5	348
P05055	CATH	4	2	234
P05091	CATH	2	51	508
P05108	CATH	1	42	521
P05141	CATH	1	3	298
P05165	CATH	5	60	192
P05166	CATH	2	25	286
P05496	CATH	1	63	134
P06576	CATH	3	47	131
P06746	CATH	4	1	91
P06959	CATH	5	1	78
P06987	CATH	3	1	162
P06996	CATH	1	22	367
P07108	CATH	1	1	87
P07148	CATH	1	1	127
P07195	CATH	2	2	163
P07203	CATH	1	6	201
P07237	CATH	4	13	131
P07650	CATH	3	6	194
P07919	CATH	1	16	91
P07954	CATH	3	51	185
P08202	CATH	1	1	175
P08203	CATH	1	1	231
P08244	CATH	1	1	245
P08559	CATH	1	20	390
P08574	CATH	2	85	280
P08622	CATH	4	1	112
P09001	CATH	2	61	163
P09053	CATH	1	1	415
P09110	CATH	1	33	424
P09372	CATH	2	34	137
P09417	CATH	1	5	244
P09622	CATH	3	43	371
P09669	CATH	1	3	75
P0A6A3	CATH	2	3	198
P0A6B7	CATH	2	5	368
P0A6C1	CATH	1	1	285
P0A6D7	CATH	1	1	173
P0A6J5	CATH	3	3	62
P0A6L0	CATH	1	1	259
P0A6L2	CATH	1	1	292
P0A6L4	CATH	1	3	297
P0A6M8	CATH	5	1	298
P0A6P1	CATH	4	1	55
P0A6P7	CATH	1	1	210
P0A6P9	CATH	2	1	127
P0A6Q3	CATH	1	1	172
P0A6T5	CATH	2	2	86
P0A6U3	CATH	4	2	234
P0A6W5	CATH	2	1	75
P0A6Y5	CATH	3	1	176
P0A6Y8	CATH	5	5	379
P0A6Z6	CATH	2	1	47
P0A705	CATH	5	2	50
P0A707	CATH	2	10	83
P0A715	CATH	1	1	283
P0A717	CATH	2	7	305
P0A722	CATH	2	1	196
P0A738	CATH	1	1	161
P0A776	CATH	1	1	160
P0A799	CATH	2	8	381
P0A7A9	CATH	1	1	176
P0A7D1	CATH	1	1	194
P0A7D4	CATH	3	6	259
P0A7X6	CATH	2	4	100
P0A7Z4	CATH	3	15	220
P0A805	CATH	2	12	182
P0A817	CATH	3	5	233
P0A825	CATH	2	11	416
P0A832	CATH	1	7	135
P0A850	CATH	3	1	115
P0A853	CATH	2	9	467
P0A862	CATH	1	1	168
P0A873	CATH	2	1	165
P0A894	CATH	1	2	163
P0A8E1	CATH	1	1	179
P0A8G3	CATH	2	7	458
P0A8I5	CATH	1	30	239
P0A8J8	CATH	2	2	217
P0A8M0	CATH	2	5	105
P0A8M3	CATH	5	1	64
P0A8S1	CATH	2	2	77
P0A8T7	CATH	10	7	128
P0A8U2	CATH	1	42	261
P0A8V2	CATH	9	18	174
P0A8W8	CATH	2	1	50
P0A8Y3	CATH	2	4	182
P0A910	CATH	2	22	192
P0A948	CATH	1	10	192
P0A953	CATH	2	6	259
P0A959	CATH	2	21	398
P0A991	CATH	1	40	348
P0A9B2	CATH	2	3	326
P0A9D4	CATH	2	1	142
P0A9E0	CATH	3	7	170
P0A9F3	CATH	3	1	87
P0A9H1	CATH	1	1	168
P0A9J8	CATH	4	1	107
P0A9K3	CATH	1	115	321
P0A9L5	CATH	1	2	93
P0A9M0	CATH	6	1	118
P0A9N4	CATH	1	2	246
P0A9P0	CATH	3	9	333
P0A9P6	CATH	3	2	211
P0A9Q7	CATH	4	10	445
P0A9Q9	CATH	2	4	356
P0A9R7	CATH	1	1	220
P0A9S3	CATH	2	20	329
P0A9T0	CATH	3	14	313
P0A9T4	CATH	1	1	346
P0A9X4	CATH	3	8	161
P0AA16	CATH	3	3	84
P0AA39	CATH	2	9	73
P0AAG8	CATH	2	2	253
P0AAH0	CATH	1	3	254
P0AAI5	CATH	1	1	413
P0AAR3	CATH	1	1	159
P0AAZ4	CATH	4	1	164
P0AB71	CATH	1	2	359
P0ABD5	CATH	1	4	319
P0ABF1	CATH	2	28	190
P0ABH7	CATH	3	2	50
P0ABP8	CATH	1	1	235
P0ABT2	CATH	1	2	167
P0ABT5	CATH	2	6	247
P0AC41	CATH	4	9	416
P0AC59	CATH	2	8	85
P0AC69	CATH	1	7	110
P0ACB2	CATH	1	2	324
P0ACB4	CATH	1	2	174
P0ACI0	CATH	3	3	55
P0ACJ8	CATH	2	1	132
P0ACK8	CATH	2	1	59
P0ACL5	CATH	2	1	78
P0ACQ4	CATH	3	1	84
P0AD61	CATH	3	4	332
P0ADG4	CATH	2	1	140
P0AE08	CATH	1	1	185
P0AE88	CATH	3	2	83
P0AED5	CATH	1	2	210
P0AEJ2	CATH	1	1	391
P0AEJ6	CATH	3	1	54
P0AEK2	CATH	1	1	244
P0AES4	CATH	4	32	521
P0AEU7	CATH	1	19	161
P0AEZ1	CATH	1	1	295
P0AEZ9	CATH	1	1	170
P0AF48	CATH	1	1	138
P0AFD1	CATH	2	13	82
P0AFG0	CATH	2	1	117
P0AFG3	CATH	4	84	166
P0AFG6	CATH	3	2	81
P0AFG8	CATH	3	57	471
P0AFI2	CATH	4	29	478
P0AFK0	CATH	1	1	236
P0AFQ7	CATH	1	2	265
P0AFR4	CATH	1	1	206
P0AFX4	CATH	1	1	151
P0AFY8	CATH	2	1	41
P0AG24	CATH	4	2	190
P0AG30	CATH	3	1	47
P0AGG4	CATH	2	1	34
P0AGG8	CATH	1	13	239
P0AGJ2	CATH	1	1	204
P0AGJ5	CATH	2	98	178
P0AGK8	CATH	1	1	144
P0C0K3	CATH	3	13	108
P0C7M7	CATH	2	44	472
P0C7P0	CATH	2	40	79
P0C8J6	CATH	1	1	284
P0C8J8	CATH	2	14	281
P0DPI2	CATH	1	41	268
P0DTT0	CATH	5	1	198
P10109	CATH	1	60	184
P10176	CATH	1	26	68
P10415	CATH	1	6	207
P10515	CATH	4	87	192
P10606	CATH	1	32	129
P10620	CATH	1	2	155
P10809	CATH	3	30	547
P11177	CATH	2	32	224
P11182	CATH	3	61	152
P11310	CATH	3	26	155
P11498	CATH	4	27	490
P12074	CATH	1	25	109
P12235	CATH	1	3	298
P12236	CATH	1	3	297
P12694	CATH	1	46	445
P12998	CATH	2	39	378
P13033	CATH	1	1	122
P13051	CATH	1	80	312
P13073	CATH	1	23	169
P13196	CATH	2	260	492
P13804	CATH	2	19	204
P13857	CATH	1	1	179
P13995	CATH	2	40	308
P14324	CATH	1	66	416
P14406	CATH	1	24	82
P14735	CATH	4	33	285
P14854	CATH	1	5	86
P14927	CATH	1	2	111
P15254	CATH	6	153	213
P15538	CATH	1	26	503
P15954	CATH	1	17	63
P16219	CATH	3	29	150
P16260	CATH	1	30	331
P17315	CATH	2	25	157
P17540	CATH	2	23	133
P17612	CATH	2	41	330
P18859	CATH	1	39	101
P19099	CATH	1	29	503
P19404	CATH	2	53	126
P20674	CATH	1	42	150
P21151	CATH	2	5	267
P21165	CATH	2	1	159
P21397	CATH	4	15	457
P21499	CATH	3	67	147
P21549	CATH	2	20	381
P21796	CATH	1	1	283
P21912	CATH	2	29	142
P21953	CATH	2	67	259
P21964	CATH	1	51	270
P22033	CATH	2	61	576
P22234	CATH	3	13	91
P22307	CATH	2	13	405
P22333	CATH	1	2	333
P22557	CATH	3	1	49
P22570	CATH	2	41	487
P22695	CATH	2	15	249
P22830	CATH	2	68	392
P23003	CATH	2	15	362
P23368	CATH	2	23	277
P23378	CATH	4	133	484
P23434	CATH	1	31	169
P23721	CATH	2	17	258
P23786	CATH	4	33	132
P23836	CATH	3	1	80
P23843	CATH	3	41	524
P23869	CATH	1	1	164
P23893	CATH	2	6	419
P23908	CATH	2	30	363
P23919	CATH	1	1	212
P24182	CATH	3	1	135
P24310	CATH	1	22	79
P24311	CATH	1	25	80
P24539	CATH	1	164	256
P24752	CATH	1	32	427
P25325	CATH	2	1	158
P25397	CATH	1	1	197
P25705	CATH	3	44	136
P25874	CATH	1	14	306
P25888	CATH	2	1	211
P26440	CATH	3	41	161
P26602	CATH	1	2	165
P27105	CATH	2	92	201
P27144	CATH	1	4	223
P27249	CATH	1	457	599
P27305	CATH	1	7	302
P27306	CATH	3	7	333
P27338	CATH	4	6	448
P27695	CATH	1	43	317
P28288	CATH	2	45	397
P28330	CATH	3	32	166
P28331	CATH	4	31	153
P28838	CATH	2	33	197
P29012	CATH	2	12	210
P29368	CATH	2	21	269
P29680	CATH	1	1	354
P29803	CATH	1	15	388
P30038	CATH	2	35	549
P30041	CATH	2	2	155
P30044	CATH	1	44	214
P30048	CATH	1	57	256
P30049	CATH	2	23	125
P30084	CATH	2	31	232
P30137	CATH	1	10	206
P30139	CATH	1	1	255
P30140	CATH	1	10	369
P30177	CATH	2	1	72
P30405	CATH	1	36	207
P30536	CATH	1	2	160
P30745	CATH	1	1	329
P30837	CATH	2	51	508
P31040	CATH	4	63	468
P31057	CATH	1	1	263
P31327	CATH	9	43	197
P31666	CATH	1	161	404
P31930	CATH	2	28	252
P31937	CATH	2	35	201
P31979	CATH	4	5	58
P32119	CATH	1	2	198
P32322	CATH	2	1	166
P32677	CATH	2	167	218
